provider_key,link_token,label,speciality,active,country,postal_sector
IQ_de9f5d6bf88bc7,SYN_91a52fc21169767f,Synthetic Professional 0077,DERMATOLOGY,true,ZZ,ZZ017
IQ_8d5a147a182e01,SYN_a1b835f150fcc833,Synthetic Professional 0078,GENERAL,true,ZZ,ZZ018
IQ_39d652b58996e7,SYN_3b198682385b444c,Synthetic Professional 0079,CARDIOLOGY,true,ZZ,ZZ019
IQ_b742d85b1af394,SYN_0ba53ef69047c2c7,Synthetic Professional 0080,DERMATOLOGY,true,ZZ,ZZ000
IQ_1b727779854ab3,SYN_67cfff20c232b5a3,Synthetic Professional 0081,GENERAL,true,ZZ,ZZ001
IQ_01a21f98815364,SYN_b5bc63de90388c83,Synthetic Professional 0082,CARDIOLOGY,true,ZZ,ZZ002
IQ_87b762d0f01c95,SYN_19750d33def3acf7,Synthetic Professional 0083,DERMATOLOGY,true,ZZ,ZZ003
IQ_db5e4b31c72a78,SYN_f8bae0e1548bde89,Synthetic Professional 0084,GENERAL,true,ZZ,ZZ004
IQ_2ed3fcb44618c9,SYN_ec3fa874589674a8,Synthetic Professional 0085,CARDIOLOGY,true,ZZ,ZZ005
IQ_73f40fd1707597,SYN_d14c95e1a3cf341a,Synthetic Professional 0086,DERMATOLOGY,true,ZZ,ZZ006
IQ_92918c3b2f4fdb,SYN_0e7b89a4c9d579a3,Synthetic Professional 0087,GENERAL,true,ZZ,ZZ007
IQ_2472ae6f311b48,SYN_47e387ddf22b1cab,Synthetic Professional 0088,CARDIOLOGY,true,ZZ,ZZ008
IQ_fa30d3fbfe0eaa,SYN_3e53806771d99663,Synthetic Professional 0089,DERMATOLOGY,true,ZZ,ZZ009
IQ_72437542771259,SYN_abb87d738c8ce831,Synthetic Professional 0090,GENERAL,true,ZZ,ZZ010
IQ_9618214b0f52fe,SYN_afbc81f5989b1a5e,Synthetic Professional 0091,CARDIOLOGY,true,ZZ,ZZ011
IQ_da1889c369f3aa,SYN_76a26cd31f2fff2b,Synthetic Professional 0092,DERMATOLOGY,true,ZZ,ZZ012
IQ_8574a122b9ffcf,SYN_5405d2fb78e5dc45,Synthetic Professional 0093,GENERAL,true,ZZ,ZZ013
IQ_9793f962088daa,SYN_94deaa68d465a502,Synthetic Professional 0094,CARDIOLOGY,true,ZZ,ZZ014
IQ_af36945ece0ade,SYN_bfda51fa22185d37,Synthetic Professional 0095,DERMATOLOGY,true,ZZ,ZZ015
IQ_0761c9286a2f08,SYN_6eee0e33da9e15dc,Synthetic Professional 0096,GENERAL,true,ZZ,ZZ016
IQ_319a00f1c5d469,SYN_2f443af38eaf7e95,Synthetic Professional 0097,CARDIOLOGY,false,ZZ,ZZ017
IQ_2674a44d322f11,SYN_c41f723db02da763,Synthetic Professional 0098,DERMATOLOGY,true,ZZ,ZZ018
IQ_2d3b19f7ba0a85,SYN_46a5f884e5fb6e14,Synthetic Professional 0099,GENERAL,true,ZZ,ZZ019
IQ_b261065f5903a5,SYN_e38e33c542713d40,Synthetic Professional 0100,CARDIOLOGY,true,ZZ,ZZ000
