observation_key,provider_key,product_code,week_ending,trx_count,nrx_count,sales_units,version_no
OBS-1-2-9,IQ_fdbb3d15d0fb0f,IQ_d19e228b25b7ab,2026-09-06,36,12,72,1
OBS-1-3-0,IQ_fdbb3d15d0fb0f,IQ_48c377d7d5a68d,2026-07-05,7,2,14,1
OBS-1-3-1,IQ_fdbb3d15d0fb0f,IQ_48c377d7d5a68d,2026-07-12,22,7,44,1
OBS-1-3-2,IQ_fdbb3d15d0fb0f,IQ_48c377d7d5a68d,2026-07-19,13,4,26,1
OBS-1-3-3,IQ_fdbb3d15d0fb0f,IQ_48c377d7d5a68d,2026-07-26,7,2,14,1
OBS-1-3-4,IQ_fdbb3d15d0fb0f,IQ_48c377d7d5a68d,2026-08-02,8,2,16,1
OBS-1-3-5,IQ_fdbb3d15d0fb0f,IQ_48c377d7d5a68d,2026-08-09,38,12,76,1
OBS-1-3-6,IQ_fdbb3d15d0fb0f,IQ_48c377d7d5a68d,2026-08-16,1,0,2,1
OBS-1-3-7,IQ_fdbb3d15d0fb0f,IQ_48c377d7d5a68d,2026-08-23,36,12,72,1
OBS-1-3-8,IQ_fdbb3d15d0fb0f,IQ_48c377d7d5a68d,2026-08-30,19,6,38,1
OBS-1-3-9,IQ_fdbb3d15d0fb0f,IQ_48c377d7d5a68d,2026-09-06,17,5,34,1
OBS-1-4-0,IQ_fdbb3d15d0fb0f,IQ_3724bf97128d1c,2026-07-05,26,8,52,1
OBS-1-4-1,IQ_fdbb3d15d0fb0f,IQ_3724bf97128d1c,2026-07-12,13,4,26,1
OBS-1-4-2,IQ_fdbb3d15d0fb0f,IQ_3724bf97128d1c,2026-07-19,27,9,54,1
OBS-1-4-3,IQ_fdbb3d15d0fb0f,IQ_3724bf97128d1c,2026-07-26,27,9,54,1
OBS-1-4-4,IQ_fdbb3d15d0fb0f,IQ_3724bf97128d1c,2026-08-02,7,2,14,1
OBS-1-4-5,IQ_fdbb3d15d0fb0f,IQ_3724bf97128d1c,2026-08-09,19,6,38,1
OBS-1-4-6,IQ_fdbb3d15d0fb0f,IQ_3724bf97128d1c,2026-08-16,4,1,8,1
OBS-1-4-7,IQ_fdbb3d15d0fb0f,IQ_3724bf97128d1c,2026-08-23,17,5,34,1
OBS-1-4-8,IQ_fdbb3d15d0fb0f,IQ_3724bf97128d1c,2026-08-30,15,5,30,1
OBS-1-4-9,IQ_fdbb3d15d0fb0f,IQ_3724bf97128d1c,2026-09-06,1,0,2,1
OBS-2-1-0,IQ_0ba748be4238c5,IQ_cba8d4f6c70cb8,2026-07-05,30,10,60,1
OBS-2-1-1,IQ_0ba748be4238c5,IQ_cba8d4f6c70cb8,2026-07-12,11,3,22,1
OBS-2-1-2,IQ_0ba748be4238c5,IQ_cba8d4f6c70cb8,2026-07-19,14,4,28,1
OBS-2-1-3,IQ_0ba748be4238c5,IQ_cba8d4f6c70cb8,2026-07-26,16,5,32,1
OBS-2-1-4,IQ_0ba748be4238c5,IQ_cba8d4f6c70cb8,2026-08-02,14,4,28,1
OBS-2-1-5,IQ_0ba748be4238c5,IQ_cba8d4f6c70cb8,2026-08-09,32,10,64,1
OBS-2-1-6,IQ_0ba748be4238c5,IQ_cba8d4f6c70cb8,2026-08-16,3,1,6,1
OBS-2-1-7,IQ_0ba748be4238c5,IQ_cba8d4f6c70cb8,2026-08-23,27,9,54,1
OBS-2-1-8,IQ_0ba748be4238c5,IQ_cba8d4f6c70cb8,2026-08-30,7,2,14,1
OBS-2-1-9,IQ_0ba748be4238c5,IQ_cba8d4f6c70cb8,2026-09-06,15,5,30,1
OBS-2-2-0,IQ_0ba748be4238c5,IQ_d19e228b25b7ab,2026-07-05,31,10,62,1
OBS-2-2-1,IQ_0ba748be4238c5,IQ_d19e228b25b7ab,2026-07-12,4,1,8,1
OBS-2-2-2,IQ_0ba748be4238c5,IQ_d19e228b25b7ab,2026-07-19,2,0,4,1
OBS-2-2-3,IQ_0ba748be4238c5,IQ_d19e228b25b7ab,2026-07-26,32,10,64,1
OBS-2-2-4,IQ_0ba748be4238c5,IQ_d19e228b25b7ab,2026-08-02,23,7,46,1
OBS-2-2-5,IQ_0ba748be4238c5,IQ_d19e228b25b7ab,2026-08-09,29,9,58,1
OBS-2-2-6,IQ_0ba748be4238c5,IQ_d19e228b25b7ab,2026-08-16,31,10,62,1
OBS-2-2-7,IQ_0ba748be4238c5,IQ_d19e228b25b7ab,2026-08-23,37,12,74,1
OBS-2-2-8,IQ_0ba748be4238c5,IQ_d19e228b25b7ab,2026-08-30,15,5,30,1
OBS-2-2-9,IQ_0ba748be4238c5,IQ_d19e228b25b7ab,2026-09-06,39,13,78,1
OBS-2-3-0,IQ_0ba748be4238c5,IQ_48c377d7d5a68d,2026-07-05,28,9,56,1
OBS-2-3-1,IQ_0ba748be4238c5,IQ_48c377d7d5a68d,2026-07-12,19,6,38,1
OBS-2-3-2,IQ_0ba748be4238c5,IQ_48c377d7d5a68d,2026-07-19,9,3,18,1
OBS-2-3-3,IQ_0ba748be4238c5,IQ_48c377d7d5a68d,2026-07-26,20,6,40,1
OBS-2-3-4,IQ_0ba748be4238c5,IQ_48c377d7d5a68d,2026-08-02,15,5,30,1
OBS-2-3-5,IQ_0ba748be4238c5,IQ_48c377d7d5a68d,2026-08-09,20,6,40,1
OBS-2-3-6,IQ_0ba748be4238c5,IQ_48c377d7d5a68d,2026-08-16,30,10,60,1
OBS-2-3-7,IQ_0ba748be4238c5,IQ_48c377d7d5a68d,2026-08-23,24,8,48,1
OBS-2-3-8,IQ_0ba748be4238c5,IQ_48c377d7d5a68d,2026-08-30,9,3,18,1
OBS-2-3-9,IQ_0ba748be4238c5,IQ_48c377d7d5a68d,2026-09-06,28,9,56,1
OBS-2-4-0,IQ_0ba748be4238c5,IQ_3724bf97128d1c,2026-07-05,21,7,42,1
OBS-2-4-1,IQ_0ba748be4238c5,IQ_3724bf97128d1c,2026-07-12,32,10,64,1
OBS-2-4-2,IQ_0ba748be4238c5,IQ_3724bf97128d1c,2026-07-19,20,6,40,1
OBS-2-4-3,IQ_0ba748be4238c5,IQ_3724bf97128d1c,2026-07-26,7,2,14,1
OBS-2-4-4,IQ_0ba748be4238c5,IQ_3724bf97128d1c,2026-08-02,20,6,40,1
OBS-2-4-5,IQ_0ba748be4238c5,IQ_3724bf97128d1c,2026-08-09,3,1,6,1
OBS-2-4-6,IQ_0ba748be4238c5,IQ_3724bf97128d1c,2026-08-16,7,2,14,1
OBS-2-4-7,IQ_0ba748be4238c5,IQ_3724bf97128d1c,2026-08-23,24,8,48,1
OBS-2-4-8,IQ_0ba748be4238c5,IQ_3724bf97128d1c,2026-08-30,35,11,70,1
OBS-2-4-9,IQ_0ba748be4238c5,IQ_3724bf97128d1c,2026-09-06,5,1,10,1
OBS-3-1-0,IQ_98b3077966380e,IQ_cba8d4f6c70cb8,2026-07-05,13,4,26,1
OBS-3-1-1,IQ_98b3077966380e,IQ_cba8d4f6c70cb8,2026-07-12,12,4,24,1
OBS-3-1-2,IQ_98b3077966380e,IQ_cba8d4f6c70cb8,2026-07-19,34,11,68,1
OBS-3-1-3,IQ_98b3077966380e,IQ_cba8d4f6c70cb8,2026-07-26,8,2,16,1
OBS-3-1-4,IQ_98b3077966380e,IQ_cba8d4f6c70cb8,2026-08-02,28,9,56,1
OBS-3-1-5,IQ_98b3077966380e,IQ_cba8d4f6c70cb8,2026-08-09,32,10,64,1
OBS-3-1-6,IQ_98b3077966380e,IQ_cba8d4f6c70cb8,2026-08-16,31,10,62,1
OBS-3-1-7,IQ_98b3077966380e,IQ_cba8d4f6c70cb8,2026-08-23,37,12,74,1
OBS-3-1-8,IQ_98b3077966380e,IQ_cba8d4f6c70cb8,2026-08-30,37,12,74,1
OBS-3-1-9,IQ_98b3077966380e,IQ_cba8d4f6c70cb8,2026-09-06,39,13,78,1
OBS-3-2-0,IQ_98b3077966380e,IQ_d19e228b25b7ab,2026-07-05,32,10,64,1
OBS-3-2-1,IQ_98b3077966380e,IQ_d19e228b25b7ab,2026-07-12,31,10,62,1
OBS-3-2-2,IQ_98b3077966380e,IQ_d19e228b25b7ab,2026-07-19,30,10,60,1
OBS-3-2-3,IQ_98b3077966380e,IQ_d19e228b25b7ab,2026-07-26,35,11,70,1
OBS-3-2-4,IQ_98b3077966380e,IQ_d19e228b25b7ab,2026-08-02,16,5,32,1
OBS-3-2-5,IQ_98b3077966380e,IQ_d19e228b25b7ab,2026-08-09,20,6,40,1
OBS-3-2-6,IQ_98b3077966380e,IQ_d19e228b25b7ab,2026-08-16,32,10,64,1
OBS-3-2-7,IQ_98b3077966380e,IQ_d19e228b25b7ab,2026-08-23,19,6,38,1
OBS-3-2-8,IQ_98b3077966380e,IQ_d19e228b25b7ab,2026-08-30,13,4,26,1
OBS-3-2-9,IQ_98b3077966380e,IQ_d19e228b25b7ab,2026-09-06,37,12,74,1
OBS-3-3-0,IQ_98b3077966380e,IQ_48c377d7d5a68d,2026-07-05,20,6,40,1
OBS-3-3-1,IQ_98b3077966380e,IQ_48c377d7d5a68d,2026-07-12,10,3,20,1
OBS-3-3-2,IQ_98b3077966380e,IQ_48c377d7d5a68d,2026-07-19,3,1,6,1
OBS-3-3-3,IQ_98b3077966380e,IQ_48c377d7d5a68d,2026-07-26,30,10,60,1
OBS-3-3-4,IQ_98b3077966380e,IQ_48c377d7d5a68d,2026-08-02,15,5,30,1
OBS-3-3-5,IQ_98b3077966380e,IQ_48c377d7d5a68d,2026-08-09,15,5,30,1
OBS-3-3-6,IQ_98b3077966380e,IQ_48c377d7d5a68d,2026-08-16,21,7,42,1
OBS-3-3-7,IQ_98b3077966380e,IQ_48c377d7d5a68d,2026-08-23,9,3,18,1
OBS-3-3-8,IQ_98b3077966380e,IQ_48c377d7d5a68d,2026-08-30,23,7,46,1
OBS-3-3-9,IQ_98b3077966380e,IQ_48c377d7d5a68d,2026-09-06,36,12,72,1
OBS-3-4-0,IQ_98b3077966380e,IQ_3724bf97128d1c,2026-07-05,13,4,26,1
OBS-3-4-1,IQ_98b3077966380e,IQ_3724bf97128d1c,2026-07-12,9,3,18,1
OBS-3-4-2,IQ_98b3077966380e,IQ_3724bf97128d1c,2026-07-19,9,3,18,1
OBS-3-4-3,IQ_98b3077966380e,IQ_3724bf97128d1c,2026-07-26,19,6,38,1
OBS-3-4-4,IQ_98b3077966380e,IQ_3724bf97128d1c,2026-08-02,36,12,72,1
OBS-3-4-5,IQ_98b3077966380e,IQ_3724bf97128d1c,2026-08-09,26,8,52,1
OBS-3-4-6,IQ_98b3077966380e,IQ_3724bf97128d1c,2026-08-16,1,0,2,1
OBS-3-4-7,IQ_98b3077966380e,IQ_3724bf97128d1c,2026-08-23,38,12,76,1
OBS-3-4-8,IQ_98b3077966380e,IQ_3724bf97128d1c,2026-08-30,32,10,64,1
OBS-3-4-9,IQ_98b3077966380e,IQ_3724bf97128d1c,2026-09-06,16,5,32,1
OBS-4-1-0,IQ_c4d7ac77a3a565,IQ_cba8d4f6c70cb8,2026-07-05,24,8,48,1
OBS-4-1-1,IQ_c4d7ac77a3a565,IQ_cba8d4f6c70cb8,2026-07-12,24,8,48,1
OBS-4-1-2,IQ_c4d7ac77a3a565,IQ_cba8d4f6c70cb8,2026-07-19,5,1,10,1
OBS-4-1-3,IQ_c4d7ac77a3a565,IQ_cba8d4f6c70cb8,2026-07-26,28,9,56,1
OBS-4-1-4,IQ_c4d7ac77a3a565,IQ_cba8d4f6c70cb8,2026-08-02,2,0,4,1
OBS-4-1-5,IQ_c4d7ac77a3a565,IQ_cba8d4f6c70cb8,2026-08-09,30,10,60,1
OBS-4-1-6,IQ_c4d7ac77a3a565,IQ_cba8d4f6c70cb8,2026-08-16,3,1,6,1
OBS-4-1-7,IQ_c4d7ac77a3a565,IQ_cba8d4f6c70cb8,2026-08-23,27,9,54,1
OBS-4-1-8,IQ_c4d7ac77a3a565,IQ_cba8d4f6c70cb8,2026-08-30,21,7,42,1
OBS-4-1-9,IQ_c4d7ac77a3a565,IQ_cba8d4f6c70cb8,2026-09-06,6,2,12,1
OBS-4-2-0,IQ_c4d7ac77a3a565,IQ_d19e228b25b7ab,2026-07-05,9,3,18,1
OBS-4-2-1,IQ_c4d7ac77a3a565,IQ_d19e228b25b7ab,2026-07-12,33,11,66,1
OBS-4-2-2,IQ_c4d7ac77a3a565,IQ_d19e228b25b7ab,2026-07-19,20,6,40,1
OBS-4-2-3,IQ_c4d7ac77a3a565,IQ_d19e228b25b7ab,2026-07-26,21,7,42,1
OBS-4-2-4,IQ_c4d7ac77a3a565,IQ_d19e228b25b7ab,2026-08-02,9,3,18,1
OBS-4-2-5,IQ_c4d7ac77a3a565,IQ_d19e228b25b7ab,2026-08-09,31,10,62,1
OBS-4-2-6,IQ_c4d7ac77a3a565,IQ_d19e228b25b7ab,2026-08-16,10,3,20,1
OBS-4-2-7,IQ_c4d7ac77a3a565,IQ_d19e228b25b7ab,2026-08-23,2,0,4,1
OBS-4-2-8,IQ_c4d7ac77a3a565,IQ_d19e228b25b7ab,2026-08-30,5,1,10,1
OBS-4-2-9,IQ_c4d7ac77a3a565,IQ_d19e228b25b7ab,2026-09-06,8,2,16,1
OBS-4-3-0,IQ_c4d7ac77a3a565,IQ_48c377d7d5a68d,2026-07-05,34,11,68,1
OBS-4-3-1,IQ_c4d7ac77a3a565,IQ_48c377d7d5a68d,2026-07-12,3,1,6,1
OBS-4-3-2,IQ_c4d7ac77a3a565,IQ_48c377d7d5a68d,2026-07-19,18,6,36,1
OBS-4-3-3,IQ_c4d7ac77a3a565,IQ_48c377d7d5a68d,2026-07-26,6,2,12,1
OBS-4-3-4,IQ_c4d7ac77a3a565,IQ_48c377d7d5a68d,2026-08-02,7,2,14,1
OBS-4-3-5,IQ_c4d7ac77a3a565,IQ_48c377d7d5a68d,2026-08-09,15,5,30,1
OBS-4-3-6,IQ_c4d7ac77a3a565,IQ_48c377d7d5a68d,2026-08-16,13,4,26,1
OBS-4-3-7,IQ_c4d7ac77a3a565,IQ_48c377d7d5a68d,2026-08-23,30,10,60,1
OBS-4-3-8,IQ_c4d7ac77a3a565,IQ_48c377d7d5a68d,2026-08-30,35,11,70,1
OBS-4-3-9,IQ_c4d7ac77a3a565,IQ_48c377d7d5a68d,2026-09-06,15,5,30,1
OBS-4-4-0,IQ_c4d7ac77a3a565,IQ_3724bf97128d1c,2026-07-05,28,9,56,1
OBS-4-4-1,IQ_c4d7ac77a3a565,IQ_3724bf97128d1c,2026-07-12,33,11,66,1
OBS-4-4-2,IQ_c4d7ac77a3a565,IQ_3724bf97128d1c,2026-07-19,30,10,60,1
OBS-4-4-3,IQ_c4d7ac77a3a565,IQ_3724bf97128d1c,2026-07-26,22,7,44,1
OBS-4-4-4,IQ_c4d7ac77a3a565,IQ_3724bf97128d1c,2026-08-02,9,3,18,1
OBS-4-4-5,IQ_c4d7ac77a3a565,IQ_3724bf97128d1c,2026-08-09,29,9,58,1
OBS-4-4-6,IQ_c4d7ac77a3a565,IQ_3724bf97128d1c,2026-08-16,18,6,36,1
OBS-4-4-7,IQ_c4d7ac77a3a565,IQ_3724bf97128d1c,2026-08-23,36,12,72,1
OBS-4-4-8,IQ_c4d7ac77a3a565,IQ_3724bf97128d1c,2026-08-30,14,4,28,1
OBS-4-4-9,IQ_c4d7ac77a3a565,IQ_3724bf97128d1c,2026-09-06,2,0,4,1
OBS-5-1-0,IQ_33101f0c5b3c7f,IQ_cba8d4f6c70cb8,2026-07-05,34,11,68,1
OBS-5-1-1,IQ_33101f0c5b3c7f,IQ_cba8d4f6c70cb8,2026-07-12,19,6,38,1
OBS-5-1-2,IQ_33101f0c5b3c7f,IQ_cba8d4f6c70cb8,2026-07-19,21,7,42,1
OBS-5-1-3,IQ_33101f0c5b3c7f,IQ_cba8d4f6c70cb8,2026-07-26,1,0,2,1
OBS-5-1-4,IQ_33101f0c5b3c7f,IQ_cba8d4f6c70cb8,2026-08-02,9,3,18,1
OBS-5-1-5,IQ_33101f0c5b3c7f,IQ_cba8d4f6c70cb8,2026-08-09,14,4,28,1
OBS-5-1-6,IQ_33101f0c5b3c7f,IQ_cba8d4f6c70cb8,2026-08-16,36,12,72,1
OBS-5-1-7,IQ_33101f0c5b3c7f,IQ_cba8d4f6c70cb8,2026-08-23,10,3,20,1
OBS-5-1-8,IQ_33101f0c5b3c7f,IQ_cba8d4f6c70cb8,2026-08-30,15,5,30,1
OBS-5-1-9,IQ_33101f0c5b3c7f,IQ_cba8d4f6c70cb8,2026-09-06,9,3,18,1
OBS-5-2-0,IQ_33101f0c5b3c7f,IQ_d19e228b25b7ab,2026-07-05,21,7,42,1
OBS-5-2-1,IQ_33101f0c5b3c7f,IQ_d19e228b25b7ab,2026-07-12,14,4,28,1
OBS-5-2-2,IQ_33101f0c5b3c7f,IQ_d19e228b25b7ab,2026-07-19,26,8,52,1
OBS-5-2-3,IQ_33101f0c5b3c7f,IQ_d19e228b25b7ab,2026-07-26,10,3,20,1
OBS-5-2-4,IQ_33101f0c5b3c7f,IQ_d19e228b25b7ab,2026-08-02,33,11,66,1
OBS-5-2-5,IQ_33101f0c5b3c7f,IQ_d19e228b25b7ab,2026-08-09,19,6,38,1
OBS-5-2-6,IQ_33101f0c5b3c7f,IQ_d19e228b25b7ab,2026-08-16,10,3,20,1
OBS-5-2-7,IQ_33101f0c5b3c7f,IQ_d19e228b25b7ab,2026-08-23,35,11,70,1
OBS-5-2-8,IQ_33101f0c5b3c7f,IQ_d19e228b25b7ab,2026-08-30,30,10,60,1
OBS-5-2-9,IQ_33101f0c5b3c7f,IQ_d19e228b25b7ab,2026-09-06,22,7,44,1
OBS-5-3-0,IQ_33101f0c5b3c7f,IQ_48c377d7d5a68d,2026-07-05,31,10,62,1
OBS-5-3-1,IQ_33101f0c5b3c7f,IQ_48c377d7d5a68d,2026-07-12,29,9,58,1
OBS-5-3-2,IQ_33101f0c5b3c7f,IQ_48c377d7d5a68d,2026-07-19,20,6,40,1
OBS-5-3-3,IQ_33101f0c5b3c7f,IQ_48c377d7d5a68d,2026-07-26,25,8,50,1
OBS-5-3-4,IQ_33101f0c5b3c7f,IQ_48c377d7d5a68d,2026-08-02,37,12,74,1
OBS-5-3-5,IQ_33101f0c5b3c7f,IQ_48c377d7d5a68d,2026-08-09,21,7,42,1
OBS-5-3-6,IQ_33101f0c5b3c7f,IQ_48c377d7d5a68d,2026-08-16,15,5,30,1
OBS-5-3-7,IQ_33101f0c5b3c7f,IQ_48c377d7d5a68d,2026-08-23,16,5,32,1
OBS-5-3-8,IQ_33101f0c5b3c7f,IQ_48c377d7d5a68d,2026-08-30,24,8,48,1
OBS-5-3-9,IQ_33101f0c5b3c7f,IQ_48c377d7d5a68d,2026-09-06,34,11,68,1
OBS-5-4-0,IQ_33101f0c5b3c7f,IQ_3724bf97128d1c,2026-07-05,29,9,58,1
OBS-5-4-1,IQ_33101f0c5b3c7f,IQ_3724bf97128d1c,2026-07-12,16,5,32,1
OBS-5-4-2,IQ_33101f0c5b3c7f,IQ_3724bf97128d1c,2026-07-19,28,9,56,1
OBS-5-4-3,IQ_33101f0c5b3c7f,IQ_3724bf97128d1c,2026-07-26,39,13,78,1
OBS-5-4-4,IQ_33101f0c5b3c7f,IQ_3724bf97128d1c,2026-08-02,3,1,6,1
OBS-5-4-5,IQ_33101f0c5b3c7f,IQ_3724bf97128d1c,2026-08-09,13,4,26,1
OBS-5-4-6,IQ_33101f0c5b3c7f,IQ_3724bf97128d1c,2026-08-16,36,12,72,1
OBS-5-4-7,IQ_33101f0c5b3c7f,IQ_3724bf97128d1c,2026-08-23,21,7,42,1
OBS-5-4-8,IQ_33101f0c5b3c7f,IQ_3724bf97128d1c,2026-08-30,34,11,68,1
OBS-5-4-9,IQ_33101f0c5b3c7f,IQ_3724bf97128d1c,2026-09-06,13,4,26,1
OBS-6-1-0,IQ_138c14e03ba3ea,IQ_cba8d4f6c70cb8,2026-07-05,25,8,50,1
OBS-6-1-1,IQ_138c14e03ba3ea,IQ_cba8d4f6c70cb8,2026-07-12,24,8,48,1
OBS-6-1-2,IQ_138c14e03ba3ea,IQ_cba8d4f6c70cb8,2026-07-19,35,11,70,1
OBS-6-1-3,IQ_138c14e03ba3ea,IQ_cba8d4f6c70cb8,2026-07-26,23,7,46,1
OBS-6-1-4,IQ_138c14e03ba3ea,IQ_cba8d4f6c70cb8,2026-08-02,14,4,28,1
OBS-6-1-5,IQ_138c14e03ba3ea,IQ_cba8d4f6c70cb8,2026-08-09,38,12,76,1
OBS-6-1-6,IQ_138c14e03ba3ea,IQ_cba8d4f6c70cb8,2026-08-16,4,1,8,1
OBS-6-1-7,IQ_138c14e03ba3ea,IQ_cba8d4f6c70cb8,2026-08-23,9,3,18,1
OBS-6-1-8,IQ_138c14e03ba3ea,IQ_cba8d4f6c70cb8,2026-08-30,27,9,54,1
OBS-6-1-9,IQ_138c14e03ba3ea,IQ_cba8d4f6c70cb8,2026-09-06,3,1,6,1
OBS-6-2-0,IQ_138c14e03ba3ea,IQ_d19e228b25b7ab,2026-07-05,34,11,68,1
OBS-6-2-1,IQ_138c14e03ba3ea,IQ_d19e228b25b7ab,2026-07-12,27,9,54,1
OBS-6-2-2,IQ_138c14e03ba3ea,IQ_d19e228b25b7ab,2026-07-19,21,7,42,1
OBS-6-2-3,IQ_138c14e03ba3ea,IQ_d19e228b25b7ab,2026-07-26,30,10,60,1
OBS-6-2-4,IQ_138c14e03ba3ea,IQ_d19e228b25b7ab,2026-08-02,30,10,60,1
OBS-6-2-5,IQ_138c14e03ba3ea,IQ_d19e228b25b7ab,2026-08-09,29,9,58,1
OBS-6-2-6,IQ_138c14e03ba3ea,IQ_d19e228b25b7ab,2026-08-16,1,0,2,1
OBS-6-2-7,IQ_138c14e03ba3ea,IQ_d19e228b25b7ab,2026-08-23,11,3,22,1
OBS-6-2-8,IQ_138c14e03ba3ea,IQ_d19e228b25b7ab,2026-08-30,10,3,20,1
OBS-6-2-9,IQ_138c14e03ba3ea,IQ_d19e228b25b7ab,2026-09-06,16,5,32,1
OBS-6-3-0,IQ_138c14e03ba3ea,IQ_48c377d7d5a68d,2026-07-05,7,2,14,1
OBS-6-3-1,IQ_138c14e03ba3ea,IQ_48c377d7d5a68d,2026-07-12,23,7,46,1
OBS-6-3-2,IQ_138c14e03ba3ea,IQ_48c377d7d5a68d,2026-07-19,2,0,4,1
OBS-6-3-3,IQ_138c14e03ba3ea,IQ_48c377d7d5a68d,2026-07-26,11,3,22,1
OBS-6-3-4,IQ_138c14e03ba3ea,IQ_48c377d7d5a68d,2026-08-02,4,1,8,1
OBS-6-3-5,IQ_138c14e03ba3ea,IQ_48c377d7d5a68d,2026-08-09,14,4,28,1
OBS-6-3-6,IQ_138c14e03ba3ea,IQ_48c377d7d5a68d,2026-08-16,22,7,44,1
OBS-6-3-7,IQ_138c14e03ba3ea,IQ_48c377d7d5a68d,2026-08-23,34,11,68,1
OBS-6-3-8,IQ_138c14e03ba3ea,IQ_48c377d7d5a68d,2026-08-30,13,4,26,1
OBS-6-3-9,IQ_138c14e03ba3ea,IQ_48c377d7d5a68d,2026-09-06,15,5,30,1
OBS-6-4-0,IQ_138c14e03ba3ea,IQ_3724bf97128d1c,2026-07-05,19,6,38,1
OBS-6-4-1,IQ_138c14e03ba3ea,IQ_3724bf97128d1c,2026-07-12,13,4,26,1
OBS-6-4-2,IQ_138c14e03ba3ea,IQ_3724bf97128d1c,2026-07-19,23,7,46,1
OBS-6-4-3,IQ_138c14e03ba3ea,IQ_3724bf97128d1c,2026-07-26,21,7,42,1
OBS-6-4-4,IQ_138c14e03ba3ea,IQ_3724bf97128d1c,2026-08-02,15,5,30,1
OBS-6-4-5,IQ_138c14e03ba3ea,IQ_3724bf97128d1c,2026-08-09,12,4,24,1
OBS-6-4-6,IQ_138c14e03ba3ea,IQ_3724bf97128d1c,2026-08-16,10,3,20,1
OBS-6-4-7,IQ_138c14e03ba3ea,IQ_3724bf97128d1c,2026-08-23,32,10,64,1
OBS-6-4-8,IQ_138c14e03ba3ea,IQ_3724bf97128d1c,2026-08-30,13,4,26,1
OBS-6-4-9,IQ_138c14e03ba3ea,IQ_3724bf97128d1c,2026-09-06,6,2,12,1
OBS-7-1-0,IQ_7e009d7f4fe2aa,IQ_cba8d4f6c70cb8,2026-07-05,38,12,76,1
OBS-7-1-1,IQ_7e009d7f4fe2aa,IQ_cba8d4f6c70cb8,2026-07-12,39,13,78,1
OBS-7-1-2,IQ_7e009d7f4fe2aa,IQ_cba8d4f6c70cb8,2026-07-19,19,6,38,1
OBS-7-1-3,IQ_7e009d7f4fe2aa,IQ_cba8d4f6c70cb8,2026-07-26,17,5,34,1
OBS-7-1-4,IQ_7e009d7f4fe2aa,IQ_cba8d4f6c70cb8,2026-08-02,14,4,28,1
OBS-7-1-5,IQ_7e009d7f4fe2aa,IQ_cba8d4f6c70cb8,2026-08-09,26,8,52,1
OBS-7-1-6,IQ_7e009d7f4fe2aa,IQ_cba8d4f6c70cb8,2026-08-16,38,12,76,1
OBS-7-1-7,IQ_7e009d7f4fe2aa,IQ_cba8d4f6c70cb8,2026-08-23,31,10,62,1
OBS-7-1-8,IQ_7e009d7f4fe2aa,IQ_cba8d4f6c70cb8,2026-08-30,4,1,8,1
OBS-7-1-9,IQ_7e009d7f4fe2aa,IQ_cba8d4f6c70cb8,2026-09-06,18,6,36,1
