affiliation_id,hcp_id,hco_id,relationship_type,is_primary,effective_from,effective_to
AFF-000080,HCP-000080,HCO-000008,PRACTISES_AT,True,2026-07-01,
AFF-000081,HCP-000081,HCO-000009,PRACTISES_AT,True,2026-07-01,
AFF-000082,HCP-000082,HCO-000010,PRACTISES_AT,True,2026-07-01,
AFF-000083,HCP-000083,HCO-000011,PRACTISES_AT,True,2026-07-01,
AFF-000084,HCP-000084,HCO-000012,PRACTISES_AT,True,2026-07-01,
AFF-000085,HCP-000085,HCO-000001,PRACTISES_AT,True,2026-07-01,
AFF-000086,HCP-000086,HCO-000002,PRACTISES_AT,True,2026-07-01,
AFF-000087,HCP-000087,HCO-000003,PRACTISES_AT,True,2026-07-01,
AFF-000088,HCP-000088,HCO-000004,PRACTISES_AT,True,2026-07-01,
AFF-000089,HCP-000089,HCO-000005,PRACTISES_AT,True,2026-07-01,
AFF-000090,HCP-000090,HCO-000006,PRACTISES_AT,True,2026-07-01,
AFF-000091,HCP-000091,HCO-000007,PRACTISES_AT,True,2026-07-01,
AFF-000092,HCP-000092,HCO-000008,PRACTISES_AT,True,2026-07-01,
AFF-000093,HCP-000093,HCO-000009,PRACTISES_AT,True,2026-07-01,
AFF-000094,HCP-000094,HCO-000010,PRACTISES_AT,True,2026-07-01,
AFF-000095,HCP-000095,HCO-000011,PRACTISES_AT,True,2026-07-01,
AFF-000096,HCP-000096,HCO-000012,PRACTISES_AT,True,2026-07-01,
AFF-000097,HCP-000097,HCO-000001,PRACTISES_AT,True,2026-07-01,
AFF-000098,HCP-000098,HCO-000002,PRACTISES_AT,True,2026-07-01,
AFF-000099,HCP-000099,HCO-000003,PRACTISES_AT,True,2026-07-01,
AFF-000100,HCP-000100,HCO-000004,PRACTISES_AT,True,2026-07-01,
