consent_id,hcp_id,channel,purpose,status,effective_at,sequence_no,delivery_batch
CONSENT-000068,HCP-000068,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000069,HCP-000069,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000070,HCP-000070,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000071,HCP-000071,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000072,HCP-000072,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000073,HCP-000073,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000074,HCP-000074,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000075,HCP-000075,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000076,HCP-000076,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000077,HCP-000077,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000078,HCP-000078,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000079,HCP-000079,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000080,HCP-000080,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000081,HCP-000081,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000082,HCP-000082,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000083,HCP-000083,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000084,HCP-000084,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000085,HCP-000085,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000086,HCP-000086,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000087,HCP-000087,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000088,HCP-000088,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000089,HCP-000089,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000090,HCP-000090,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000091,HCP-000091,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000092,HCP-000092,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000093,HCP-000093,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000094,HCP-000094,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000095,HCP-000095,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000096,HCP-000096,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000097,HCP-000097,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000098,HCP-000098,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000099,HCP-000099,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
CONSENT-000100,HCP-000100,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1,b001
WITHDRAW-3,HCP-000003,EMAIL,COMMERCIAL,WITHDRAWN,2026-09-14T15:00:00Z,2,b002
FUTURE-3,HCP-000003,EMAIL,COMMERCIAL,GRANTED,2026-10-01T00:00:00Z,3,b002
