assignment_id,hcp_id,territory_id,effective_from,effective_to
ASSIGN-000079,HCP-000079,TERRITORY-000003,2026-07-01,
ASSIGN-000080,HCP-000080,TERRITORY-000004,2026-07-01,
ASSIGN-000081,HCP-000081,TERRITORY-000001,2026-07-01,
ASSIGN-000082,HCP-000082,TERRITORY-000002,2026-07-01,
ASSIGN-000083,HCP-000083,TERRITORY-000003,2026-07-01,
ASSIGN-000084,HCP-000084,TERRITORY-000004,2026-07-01,
ASSIGN-000085,HCP-000085,TERRITORY-000001,2026-07-01,
ASSIGN-000086,HCP-000086,TERRITORY-000002,2026-07-01,
ASSIGN-000087,HCP-000087,TERRITORY-000003,2026-07-01,
ASSIGN-000088,HCP-000088,TERRITORY-000004,2026-07-01,
ASSIGN-000089,HCP-000089,TERRITORY-000001,2026-07-01,
ASSIGN-000090,HCP-000090,TERRITORY-000002,2026-07-01,
ASSIGN-000091,HCP-000091,TERRITORY-000003,2026-07-01,
ASSIGN-000092,HCP-000092,TERRITORY-000004,2026-07-01,
ASSIGN-000093,HCP-000093,TERRITORY-000001,2026-07-01,
ASSIGN-000094,HCP-000094,TERRITORY-000002,2026-07-01,
ASSIGN-000095,HCP-000095,TERRITORY-000003,2026-07-01,
ASSIGN-000096,HCP-000096,TERRITORY-000004,2026-07-01,
ASSIGN-000097,HCP-000097,TERRITORY-000001,2026-07-01,
ASSIGN-000099,HCP-000099,TERRITORY-000003,2026-07-01,
ASSIGN-000100,HCP-000100,TERRITORY-000004,2026-07-01,
ASSIGN-REALIGN,HCP-000001,TERRITORY-000002,2026-09-01,
ASSIGN-FUTURE,HCP-000002,TERRITORY-000003,2026-10-01,
