interaction_id,version_no,product_id,detail_rank
INTERACTION-000050,1,PRODUCT-000002,1
INTERACTION-000051,1,PRODUCT-000003,1
INTERACTION-000051,1,PRODUCT-000004,2
INTERACTION-000052,1,PRODUCT-000004,1
INTERACTION-000053,1,PRODUCT-000001,1
INTERACTION-000054,1,PRODUCT-000002,1
INTERACTION-000055,1,PRODUCT-000003,1
INTERACTION-000056,1,PRODUCT-000004,1
INTERACTION-000057,1,PRODUCT-000001,1
INTERACTION-000058,1,PRODUCT-000002,1
INTERACTION-000059,1,PRODUCT-000003,1
INTERACTION-000060,1,PRODUCT-000004,1
INTERACTION-000061,1,PRODUCT-000001,1
INTERACTION-000062,1,PRODUCT-000002,1
INTERACTION-000063,1,PRODUCT-000003,1
INTERACTION-000064,1,PRODUCT-000004,1
INTERACTION-000065,1,PRODUCT-000001,1
INTERACTION-000066,1,PRODUCT-000002,1
INTERACTION-000067,1,PRODUCT-000003,1
INTERACTION-000068,1,PRODUCT-000004,1
INTERACTION-000068,1,PRODUCT-000001,2
INTERACTION-000069,1,PRODUCT-000001,1
INTERACTION-000070,1,PRODUCT-000002,1
INTERACTION-000071,1,PRODUCT-000003,1
INTERACTION-000072,1,PRODUCT-000004,1
INTERACTION-000073,1,PRODUCT-000001,1
INTERACTION-000074,1,PRODUCT-000002,1
INTERACTION-000075,1,PRODUCT-000003,1
INTERACTION-000076,1,PRODUCT-000004,1
INTERACTION-000077,1,PRODUCT-000001,1
INTERACTION-000078,1,PRODUCT-000002,1
INTERACTION-000079,1,PRODUCT-000003,1
INTERACTION-000080,1,PRODUCT-000004,1
INTERACTION-000081,1,PRODUCT-000001,1
INTERACTION-000082,1,PRODUCT-000002,1
INTERACTION-000083,1,PRODUCT-000003,1
INTERACTION-000084,1,PRODUCT-000004,1
INTERACTION-000085,1,PRODUCT-000001,1
INTERACTION-000085,1,PRODUCT-000002,2
INTERACTION-000086,1,PRODUCT-000002,1
INTERACTION-000087,1,PRODUCT-000003,1
INTERACTION-000088,1,PRODUCT-000004,1
INTERACTION-000089,1,PRODUCT-000001,1
INTERACTION-000090,1,PRODUCT-000002,1
INTERACTION-000091,1,PRODUCT-000003,1
INTERACTION-000092,1,PRODUCT-000004,1
INTERACTION-000093,1,PRODUCT-000001,1
INTERACTION-000094,1,PRODUCT-000002,1
INTERACTION-000095,1,PRODUCT-000003,1
INTERACTION-000096,1,PRODUCT-000004,1
INTERACTION-000097,1,PRODUCT-000001,1
INTERACTION-000098,1,PRODUCT-000002,1
INTERACTION-000099,1,PRODUCT-000003,1
INTERACTION-000100,1,PRODUCT-000004,1
INTERACTION-000101,1,PRODUCT-000001,1
INTERACTION-000102,1,PRODUCT-000002,1
INTERACTION-000102,1,PRODUCT-000003,2
INTERACTION-000103,1,PRODUCT-000003,1
INTERACTION-000104,1,PRODUCT-000004,1
INTERACTION-000105,1,PRODUCT-000001,1
INTERACTION-000106,1,PRODUCT-000002,1
INTERACTION-000107,1,PRODUCT-000003,1
INTERACTION-000108,1,PRODUCT-000004,1
INTERACTION-000109,1,PRODUCT-000001,1
INTERACTION-000110,1,PRODUCT-000002,1
INTERACTION-000111,1,PRODUCT-000003,1
INTERACTION-000112,1,PRODUCT-000004,1
INTERACTION-000113,1,PRODUCT-000001,1
INTERACTION-000114,1,PRODUCT-000002,1
INTERACTION-000115,1,PRODUCT-000003,1
INTERACTION-000116,1,PRODUCT-000004,1
INTERACTION-000117,1,PRODUCT-000001,1
INTERACTION-000118,1,PRODUCT-000002,1
INTERACTION-000119,1,PRODUCT-000003,1
INTERACTION-000119,1,PRODUCT-000004,2
INTERACTION-000120,1,PRODUCT-000004,1
INTERACTION-000121,1,PRODUCT-000001,1
INTERACTION-000122,1,PRODUCT-000002,1
INTERACTION-000123,1,PRODUCT-000003,1
INTERACTION-000124,1,PRODUCT-000004,1
INTERACTION-000125,1,PRODUCT-000001,1
INTERACTION-000126,1,PRODUCT-000002,1
INTERACTION-000127,1,PRODUCT-000003,1
INTERACTION-000128,1,PRODUCT-000004,1
INTERACTION-000129,1,PRODUCT-000001,1
INTERACTION-000130,1,PRODUCT-000002,1
INTERACTION-000131,1,PRODUCT-000003,1
INTERACTION-000132,1,PRODUCT-000004,1
INTERACTION-000133,1,PRODUCT-000001,1
INTERACTION-000134,1,PRODUCT-000002,1
INTERACTION-000135,1,PRODUCT-000003,1
INTERACTION-000136,1,PRODUCT-000004,1
INTERACTION-000136,1,PRODUCT-000001,2
INTERACTION-000137,1,PRODUCT-000001,1
INTERACTION-000138,1,PRODUCT-000002,1
INTERACTION-000139,1,PRODUCT-000003,1
INTERACTION-000140,1,PRODUCT-000004,1
INTERACTION-000141,1,PRODUCT-000001,1
INTERACTION-000142,1,PRODUCT-000002,1
INTERACTION-000143,1,PRODUCT-000003,1
INTERACTION-000144,1,PRODUCT-000004,1
INTERACTION-000145,1,PRODUCT-000001,1
INTERACTION-000146,1,PRODUCT-000002,1
INTERACTION-000147,1,PRODUCT-000003,1
INTERACTION-000148,1,PRODUCT-000004,1
INTERACTION-000149,1,PRODUCT-000001,1
INTERACTION-000150,1,PRODUCT-000002,1
INTERACTION-000151,1,PRODUCT-000003,1
INTERACTION-000152,1,PRODUCT-000004,1
INTERACTION-000153,1,PRODUCT-000001,1
INTERACTION-000153,1,PRODUCT-000002,2
INTERACTION-000154,1,PRODUCT-000002,1
INTERACTION-000155,1,PRODUCT-000003,1
INTERACTION-000156,1,PRODUCT-000004,1
INTERACTION-000157,1,PRODUCT-000001,1
INTERACTION-000158,1,PRODUCT-000002,1
INTERACTION-000159,1,PRODUCT-000003,1
INTERACTION-000160,1,PRODUCT-000004,1
INTERACTION-000161,1,PRODUCT-000001,1
INTERACTION-000162,1,PRODUCT-000002,1
INTERACTION-000163,1,PRODUCT-000003,1
INTERACTION-000164,1,PRODUCT-000004,1
INTERACTION-000165,1,PRODUCT-000001,1
INTERACTION-000166,1,PRODUCT-000002,1
INTERACTION-000167,1,PRODUCT-000003,1
INTERACTION-000168,1,PRODUCT-000004,1
INTERACTION-000169,1,PRODUCT-000001,1
INTERACTION-000170,1,PRODUCT-000002,1
INTERACTION-000170,1,PRODUCT-000003,2
INTERACTION-000171,1,PRODUCT-000003,1
INTERACTION-000172,1,PRODUCT-000004,1
INTERACTION-000173,1,PRODUCT-000001,1
INTERACTION-000174,1,PRODUCT-000002,1
INTERACTION-000175,1,PRODUCT-000003,1
INTERACTION-000176,1,PRODUCT-000004,1
INTERACTION-000177,1,PRODUCT-000001,1
INTERACTION-000178,1,PRODUCT-000002,1
INTERACTION-000179,1,PRODUCT-000003,1
INTERACTION-000180,1,PRODUCT-000004,1
INTERACTION-000181,1,PRODUCT-000001,1
INTERACTION-000182,1,PRODUCT-000002,1
INTERACTION-000183,1,PRODUCT-000003,1
INTERACTION-000184,1,PRODUCT-000004,1
INTERACTION-000185,1,PRODUCT-000001,1
INTERACTION-000186,1,PRODUCT-000002,1
INTERACTION-000187,1,PRODUCT-000003,1
INTERACTION-000187,1,PRODUCT-000004,2
INTERACTION-000188,1,PRODUCT-000004,1
INTERACTION-000189,1,PRODUCT-000001,1
INTERACTION-000190,1,PRODUCT-000002,1
INTERACTION-000191,1,PRODUCT-000003,1
INTERACTION-000192,1,PRODUCT-000004,1
INTERACTION-000193,1,PRODUCT-000001,1
INTERACTION-000194,1,PRODUCT-000002,1
INTERACTION-000195,1,PRODUCT-000003,1
INTERACTION-000196,1,PRODUCT-000004,1
INTERACTION-000197,1,PRODUCT-000001,1
INTERACTION-000198,1,PRODUCT-000002,1
INTERACTION-000199,1,PRODUCT-000003,1
INTERACTION-000200,1,PRODUCT-000004,1
INTERACTION-000201,1,PRODUCT-000001,1
INTERACTION-000202,1,PRODUCT-000002,1
INTERACTION-000203,1,PRODUCT-000003,1
INTERACTION-000204,1,PRODUCT-000004,1
INTERACTION-000204,1,PRODUCT-000001,2
INTERACTION-000205,1,PRODUCT-000001,1
INTERACTION-000206,1,PRODUCT-000002,1
INTERACTION-000207,1,PRODUCT-000003,1
INTERACTION-000208,1,PRODUCT-000004,1
INTERACTION-000209,1,PRODUCT-000001,1
INTERACTION-000210,1,PRODUCT-000002,1
INTERACTION-000211,1,PRODUCT-000003,1
INTERACTION-000212,1,PRODUCT-000004,1
INTERACTION-000213,1,PRODUCT-000001,1
INTERACTION-000214,1,PRODUCT-000002,1
INTERACTION-000215,1,PRODUCT-000003,1
INTERACTION-000216,1,PRODUCT-000004,1
INTERACTION-000217,1,PRODUCT-000001,1
INTERACTION-000218,1,PRODUCT-000002,1
INTERACTION-000219,1,PRODUCT-000003,1
INTERACTION-000220,1,PRODUCT-000004,1
INTERACTION-000221,1,PRODUCT-000001,1
INTERACTION-000221,1,PRODUCT-000002,2
INTERACTION-000222,1,PRODUCT-000002,1
INTERACTION-000223,1,PRODUCT-000003,1
INTERACTION-000224,1,PRODUCT-000004,1
INTERACTION-000225,1,PRODUCT-000001,1
INTERACTION-000226,1,PRODUCT-000002,1
INTERACTION-000227,1,PRODUCT-000003,1
INTERACTION-000228,1,PRODUCT-000004,1
INTERACTION-000229,1,PRODUCT-000001,1
INTERACTION-000230,1,PRODUCT-000002,1
INTERACTION-000231,1,PRODUCT-000003,1
INTERACTION-000232,1,PRODUCT-000004,1
INTERACTION-000233,1,PRODUCT-000001,1
INTERACTION-000234,1,PRODUCT-000002,1
INTERACTION-000235,1,PRODUCT-000003,1
INTERACTION-000236,1,PRODUCT-000004,1
INTERACTION-000237,1,PRODUCT-000001,1
INTERACTION-000238,1,PRODUCT-000002,1
INTERACTION-000238,1,PRODUCT-000003,2
INTERACTION-000239,1,PRODUCT-000003,1
INTERACTION-000240,1,PRODUCT-000004,1
INTERACTION-000241,1,PRODUCT-000001,1
INTERACTION-000242,1,PRODUCT-000002,1
INTERACTION-000243,1,PRODUCT-000003,1
INTERACTION-000244,1,PRODUCT-000004,1
INTERACTION-000245,1,PRODUCT-000001,1
INTERACTION-000246,1,PRODUCT-000002,1
INTERACTION-000247,1,PRODUCT-000003,1
INTERACTION-000248,1,PRODUCT-000004,1
INTERACTION-000249,1,PRODUCT-000001,1
INTERACTION-000250,1,PRODUCT-000002,1
INTERACTION-000251,1,PRODUCT-000003,1
INTERACTION-000252,1,PRODUCT-000004,1
INTERACTION-000253,1,PRODUCT-000001,1
INTERACTION-000254,1,PRODUCT-000002,1
INTERACTION-000255,1,PRODUCT-000003,1
INTERACTION-000255,1,PRODUCT-000004,2
INTERACTION-000256,1,PRODUCT-000004,1
INTERACTION-000257,1,PRODUCT-000001,1
INTERACTION-000258,1,PRODUCT-000002,1
INTERACTION-000259,1,PRODUCT-000003,1
INTERACTION-000260,1,PRODUCT-000004,1
INTERACTION-000261,1,PRODUCT-000001,1
INTERACTION-000262,1,PRODUCT-000002,1
INTERACTION-000263,1,PRODUCT-000003,1
INTERACTION-000264,1,PRODUCT-000004,1
INTERACTION-000265,1,PRODUCT-000001,1
INTERACTION-000266,1,PRODUCT-000002,1
INTERACTION-000267,1,PRODUCT-000003,1
INTERACTION-000268,1,PRODUCT-000004,1
INTERACTION-000269,1,PRODUCT-000001,1
INTERACTION-000270,1,PRODUCT-000002,1
INTERACTION-000271,1,PRODUCT-000003,1
INTERACTION-000272,1,PRODUCT-000004,1
INTERACTION-000272,1,PRODUCT-000001,2
INTERACTION-000273,1,PRODUCT-000001,1
INTERACTION-000274,1,PRODUCT-000002,1
INTERACTION-000275,1,PRODUCT-000003,1
INTERACTION-000276,1,PRODUCT-000004,1
INTERACTION-000277,1,PRODUCT-000001,1
INTERACTION-000278,1,PRODUCT-000002,1
INTERACTION-000279,1,PRODUCT-000003,1
INTERACTION-000280,1,PRODUCT-000004,1
INTERACTION-000281,1,PRODUCT-000001,1
INTERACTION-000282,1,PRODUCT-000002,1
INTERACTION-000283,1,PRODUCT-000003,1
INTERACTION-000284,1,PRODUCT-000004,1
INTERACTION-000285,1,PRODUCT-000001,1
INTERACTION-000286,1,PRODUCT-000002,1
INTERACTION-000287,1,PRODUCT-000003,1
INTERACTION-000288,1,PRODUCT-000004,1
INTERACTION-000289,1,PRODUCT-000001,1
INTERACTION-000289,1,PRODUCT-000002,2
INTERACTION-000290,1,PRODUCT-000002,1
INTERACTION-000291,1,PRODUCT-000003,1
INTERACTION-000292,1,PRODUCT-000004,1
INTERACTION-000293,1,PRODUCT-000001,1
INTERACTION-000294,1,PRODUCT-000002,1
INTERACTION-000295,1,PRODUCT-000003,1
INTERACTION-000296,1,PRODUCT-000004,1
INTERACTION-000297,1,PRODUCT-000001,1
INTERACTION-000298,1,PRODUCT-000002,1
INTERACTION-000299,1,PRODUCT-000003,1
INTERACTION-000300,1,PRODUCT-000004,1
INTERACTION-000001,2,PRODUCT-000002,1
INTERACTION-000002,2,PRODUCT-000002,1
INTERACTION-000301,1,PRODUCT-000001,1
INTERACTION-000302,1,PRODUCT-000002,1
INTERACTION-000303,1,PRODUCT-000003,1
INTERACTION-000304,1,PRODUCT-000004,1
