interaction_id,version_no,hcp_id,rep_id,primary_product_id,occurred_at,channel,approval,duration_minutes,modified_at,operation,delivery_batch
INTERACTION-000028,1,HCP-000028,REPRESENTATIVE-000004,PRODUCT-000004,2026-08-11T12:00:00Z,EMAIL,APPROVED,17,2026-08-11T12:00:00Z,UPSERT,b001
INTERACTION-000029,1,HCP-000029,REPRESENTATIVE-000005,PRODUCT-000001,2026-08-30T12:00:00Z,EMAIL,APPROVED,18,2026-08-30T12:00:00Z,UPSERT,b001
INTERACTION-000030,1,HCP-000030,REPRESENTATIVE-000006,PRODUCT-000002,2026-07-13T12:00:00Z,EMAIL,APPROVED,19,2026-07-13T12:00:00Z,UPSERT,b001
INTERACTION-000031,1,HCP-000031,REPRESENTATIVE-000007,PRODUCT-000003,2026-07-13T12:00:00Z,EMAIL,APPROVED,20,2026-07-13T12:00:00Z,UPSERT,b001
INTERACTION-000032,1,HCP-000032,REPRESENTATIVE-000008,PRODUCT-000004,2026-07-11T12:00:00Z,EMAIL,APPROVED,21,2026-07-11T12:00:00Z,UPSERT,b001
INTERACTION-000033,1,HCP-000033,REPRESENTATIVE-000001,PRODUCT-000001,2026-07-01T12:00:00Z,EMAIL,APPROVED,22,2026-07-01T12:00:00Z,UPSERT,b001
INTERACTION-000034,1,HCP-000034,REPRESENTATIVE-000002,PRODUCT-000002,2026-07-02T12:00:00Z,EMAIL,APPROVED,23,2026-07-02T12:00:00Z,UPSERT,b001
INTERACTION-000035,1,HCP-000035,REPRESENTATIVE-000003,PRODUCT-000003,2026-07-27T12:00:00Z,EMAIL,APPROVED,24,2026-07-27T12:00:00Z,UPSERT,b001
INTERACTION-000036,1,HCP-000036,REPRESENTATIVE-000004,PRODUCT-000004,2026-08-03T12:00:00Z,EMAIL,APPROVED,25,2026-08-03T12:00:00Z,UPSERT,b001
INTERACTION-000037,1,HCP-000037,REPRESENTATIVE-000005,PRODUCT-000001,2026-07-20T12:00:00Z,EMAIL,APPROVED,26,2026-07-20T12:00:00Z,UPSERT,b001
INTERACTION-000038,1,HCP-000038,REPRESENTATIVE-000006,PRODUCT-000002,2026-07-11T12:00:00Z,EMAIL,APPROVED,27,2026-07-11T12:00:00Z,UPSERT,b001
INTERACTION-000039,1,HCP-000039,REPRESENTATIVE-000007,PRODUCT-000003,2026-09-02T12:00:00Z,EMAIL,APPROVED,28,2026-09-02T12:00:00Z,UPSERT,b001
INTERACTION-000040,1,HCP-000040,REPRESENTATIVE-000008,PRODUCT-000004,2026-08-16T12:00:00Z,EMAIL,APPROVED,29,2026-08-16T12:00:00Z,UPSERT,b001
INTERACTION-000041,1,HCP-000041,REPRESENTATIVE-000001,PRODUCT-000001,2026-08-02T12:00:00Z,EMAIL,DRAFT,30,2026-08-02T12:00:00Z,UPSERT,b001
INTERACTION-000042,1,HCP-000042,REPRESENTATIVE-000002,PRODUCT-000002,2026-07-02T12:00:00Z,EMAIL,APPROVED,10,2026-07-02T12:00:00Z,UPSERT,b001
INTERACTION-000043,1,HCP-000043,REPRESENTATIVE-000003,PRODUCT-000003,2026-08-24T12:00:00Z,EMAIL,APPROVED,11,2026-08-24T12:00:00Z,UPSERT,b001
INTERACTION-000044,1,HCP-000044,REPRESENTATIVE-000004,PRODUCT-000004,2026-08-24T12:00:00Z,EMAIL,APPROVED,12,2026-08-24T12:00:00Z,UPSERT,b001
INTERACTION-000045,1,HCP-000045,REPRESENTATIVE-000005,PRODUCT-000001,2026-09-11T12:00:00Z,EMAIL,APPROVED,13,2026-09-11T12:00:00Z,UPSERT,b001
INTERACTION-000046,1,HCP-000046,REPRESENTATIVE-000006,PRODUCT-000002,2026-09-04T12:00:00Z,EMAIL,APPROVED,14,2026-09-04T12:00:00Z,UPSERT,b001
INTERACTION-000047,1,HCP-000047,REPRESENTATIVE-000007,PRODUCT-000003,2026-07-29T12:00:00Z,EMAIL,APPROVED,15,2026-07-29T12:00:00Z,UPSERT,b001
INTERACTION-000048,1,HCP-000048,REPRESENTATIVE-000008,PRODUCT-000004,2026-07-14T12:00:00Z,EMAIL,APPROVED,16,2026-07-14T12:00:00Z,UPSERT,b001
INTERACTION-000049,1,HCP-000049,REPRESENTATIVE-000001,PRODUCT-000001,2026-07-09T12:00:00Z,EMAIL,APPROVED,17,2026-07-09T12:00:00Z,UPSERT,b001
INTERACTION-000050,1,HCP-000050,REPRESENTATIVE-000002,PRODUCT-000002,2026-07-11T12:00:00Z,EMAIL,APPROVED,18,2026-07-11T12:00:00Z,UPSERT,b001
INTERACTION-000051,1,HCP-000051,REPRESENTATIVE-000003,PRODUCT-000003,2026-07-29T12:00:00Z,EMAIL,APPROVED,19,2026-07-29T12:00:00Z,UPSERT,b001
INTERACTION-000052,1,HCP-000052,REPRESENTATIVE-000004,PRODUCT-000004,2026-07-24T12:00:00Z,EMAIL,APPROVED,20,2026-07-24T12:00:00Z,UPSERT,b001
INTERACTION-000053,1,HCP-000053,REPRESENTATIVE-000005,PRODUCT-000001,2026-07-06T12:00:00Z,EMAIL,APPROVED,21,2026-07-06T12:00:00Z,UPSERT,b001
INTERACTION-000054,1,HCP-000054,REPRESENTATIVE-000006,PRODUCT-000002,2026-08-26T12:00:00Z,EMAIL,APPROVED,22,2026-08-26T12:00:00Z,UPSERT,b001
INTERACTION-000055,1,HCP-000055,REPRESENTATIVE-000007,PRODUCT-000003,2026-07-29T12:00:00Z,EMAIL,APPROVED,23,2026-07-29T12:00:00Z,UPSERT,b001
INTERACTION-000056,1,HCP-000056,REPRESENTATIVE-000008,PRODUCT-000004,2026-07-24T12:00:00Z,EMAIL,APPROVED,24,2026-07-24T12:00:00Z,UPSERT,b001
INTERACTION-000057,1,HCP-000057,REPRESENTATIVE-000001,PRODUCT-000001,2026-09-10T12:00:00Z,EMAIL,APPROVED,25,2026-09-10T12:00:00Z,UPSERT,b001
INTERACTION-000058,1,HCP-000058,REPRESENTATIVE-000002,PRODUCT-000002,2026-09-12T12:00:00Z,EMAIL,APPROVED,26,2026-09-12T12:00:00Z,UPSERT,b001
INTERACTION-000059,1,HCP-000059,REPRESENTATIVE-000003,PRODUCT-000003,2026-08-30T12:00:00Z,EMAIL,APPROVED,27,2026-08-30T12:00:00Z,UPSERT,b001
INTERACTION-000060,1,HCP-000060,REPRESENTATIVE-000004,PRODUCT-000004,2026-08-23T12:00:00Z,EMAIL,APPROVED,28,2026-08-23T12:00:00Z,UPSERT,b001
INTERACTION-000061,1,HCP-000061,REPRESENTATIVE-000005,PRODUCT-000001,2026-07-24T12:00:00Z,EMAIL,APPROVED,29,2026-07-24T12:00:00Z,UPSERT,b001
INTERACTION-000062,1,HCP-000062,REPRESENTATIVE-000006,PRODUCT-000002,2026-09-09T12:00:00Z,EMAIL,APPROVED,30,2026-09-09T12:00:00Z,UPSERT,b001
INTERACTION-000063,1,HCP-000063,REPRESENTATIVE-000007,PRODUCT-000003,2026-07-07T12:00:00Z,EMAIL,APPROVED,10,2026-07-07T12:00:00Z,UPSERT,b001
INTERACTION-000064,1,HCP-000064,REPRESENTATIVE-000008,PRODUCT-000004,2026-09-07T12:00:00Z,EMAIL,APPROVED,11,2026-09-07T12:00:00Z,UPSERT,b001
INTERACTION-000065,1,HCP-000065,REPRESENTATIVE-000001,PRODUCT-000001,2026-09-12T12:00:00Z,EMAIL,APPROVED,12,2026-09-12T12:00:00Z,UPSERT,b001
INTERACTION-000066,1,HCP-000066,REPRESENTATIVE-000002,PRODUCT-000002,2026-08-09T12:00:00Z,EMAIL,APPROVED,13,2026-08-09T12:00:00Z,UPSERT,b001
INTERACTION-000067,1,HCP-000067,REPRESENTATIVE-000003,PRODUCT-000003,2026-07-24T12:00:00Z,EMAIL,APPROVED,14,2026-07-24T12:00:00Z,UPSERT,b001
INTERACTION-000068,1,HCP-000068,REPRESENTATIVE-000004,PRODUCT-000004,2026-07-24T12:00:00Z,EMAIL,APPROVED,15,2026-07-24T12:00:00Z,UPSERT,b001
INTERACTION-000069,1,HCP-000069,REPRESENTATIVE-000005,PRODUCT-000001,2026-08-26T12:00:00Z,EMAIL,APPROVED,16,2026-08-26T12:00:00Z,UPSERT,b001
INTERACTION-000070,1,HCP-000070,REPRESENTATIVE-000006,PRODUCT-000002,2026-07-05T12:00:00Z,EMAIL,APPROVED,17,2026-07-05T12:00:00Z,UPSERT,b001
INTERACTION-000071,1,HCP-000071,REPRESENTATIVE-000007,PRODUCT-000003,2026-07-26T12:00:00Z,EMAIL,APPROVED,18,2026-07-26T12:00:00Z,UPSERT,b001
INTERACTION-000072,1,HCP-000072,REPRESENTATIVE-000008,PRODUCT-000004,2026-07-16T12:00:00Z,EMAIL,APPROVED,19,2026-07-16T12:00:00Z,UPSERT,b001
INTERACTION-000073,1,HCP-000073,REPRESENTATIVE-000001,PRODUCT-000001,2026-07-11T12:00:00Z,EMAIL,APPROVED,20,2026-07-11T12:00:00Z,UPSERT,b001
INTERACTION-000074,1,HCP-000074,REPRESENTATIVE-000002,PRODUCT-000002,2026-09-11T12:00:00Z,EMAIL,APPROVED,21,2026-09-11T12:00:00Z,UPSERT,b001
INTERACTION-000075,1,HCP-000075,REPRESENTATIVE-000003,PRODUCT-000003,2026-08-16T12:00:00Z,EMAIL,APPROVED,22,2026-08-16T12:00:00Z,UPSERT,b001
INTERACTION-000076,1,HCP-000076,REPRESENTATIVE-000004,PRODUCT-000004,2026-09-07T12:00:00Z,EMAIL,APPROVED,23,2026-09-07T12:00:00Z,UPSERT,b001
INTERACTION-000077,1,HCP-000077,REPRESENTATIVE-000005,PRODUCT-000001,2026-09-07T12:00:00Z,EMAIL,APPROVED,24,2026-09-07T12:00:00Z,UPSERT,b001
INTERACTION-000078,1,HCP-000078,REPRESENTATIVE-000006,PRODUCT-000002,2026-07-11T12:00:00Z,EMAIL,APPROVED,25,2026-07-11T12:00:00Z,UPSERT,b001
INTERACTION-000079,1,HCP-000079,REPRESENTATIVE-000007,PRODUCT-000003,2026-08-17T12:00:00Z,EMAIL,APPROVED,26,2026-08-17T12:00:00Z,UPSERT,b001
INTERACTION-000080,1,HCP-000080,REPRESENTATIVE-000008,PRODUCT-000004,2026-07-09T12:00:00Z,EMAIL,APPROVED,27,2026-07-09T12:00:00Z,UPSERT,b001
INTERACTION-000081,1,HCP-000081,REPRESENTATIVE-000001,PRODUCT-000001,2026-07-24T12:00:00Z,EMAIL,APPROVED,28,2026-07-24T12:00:00Z,UPSERT,b001
INTERACTION-000082,1,HCP-000082,REPRESENTATIVE-000002,PRODUCT-000002,2026-08-22T12:00:00Z,EMAIL,DRAFT,29,2026-08-22T12:00:00Z,UPSERT,b001
INTERACTION-000083,1,HCP-000083,REPRESENTATIVE-000003,PRODUCT-000003,2026-07-20T12:00:00Z,EMAIL,APPROVED,30,2026-07-20T12:00:00Z,UPSERT,b001
INTERACTION-000084,1,HCP-000084,REPRESENTATIVE-000004,PRODUCT-000004,2026-08-08T12:00:00Z,EMAIL,APPROVED,10,2026-08-08T12:00:00Z,UPSERT,b001
INTERACTION-000085,1,HCP-000085,REPRESENTATIVE-000005,PRODUCT-000001,2026-09-10T12:00:00Z,EMAIL,APPROVED,11,2026-09-10T12:00:00Z,UPSERT,b001
INTERACTION-000086,1,HCP-000086,REPRESENTATIVE-000006,PRODUCT-000002,2026-08-21T12:00:00Z,EMAIL,APPROVED,12,2026-08-21T12:00:00Z,UPSERT,b001
INTERACTION-000087,1,HCP-000087,REPRESENTATIVE-000007,PRODUCT-000003,2026-09-02T12:00:00Z,EMAIL,APPROVED,13,2026-09-02T12:00:00Z,UPSERT,b001
INTERACTION-000088,1,HCP-000088,REPRESENTATIVE-000008,PRODUCT-000004,2026-07-26T12:00:00Z,EMAIL,APPROVED,14,2026-07-26T12:00:00Z,UPSERT,b001
INTERACTION-000089,1,HCP-000089,REPRESENTATIVE-000001,PRODUCT-000001,2026-07-25T12:00:00Z,EMAIL,APPROVED,15,2026-07-25T12:00:00Z,UPSERT,b001
INTERACTION-000090,1,HCP-000090,REPRESENTATIVE-000002,PRODUCT-000002,2026-07-11T12:00:00Z,EMAIL,APPROVED,16,2026-07-11T12:00:00Z,UPSERT,b001
INTERACTION-000091,1,HCP-000091,REPRESENTATIVE-000003,PRODUCT-000003,2026-09-09T12:00:00Z,EMAIL,APPROVED,17,2026-09-09T12:00:00Z,UPSERT,b001
INTERACTION-000092,1,HCP-000092,REPRESENTATIVE-000004,PRODUCT-000004,2026-08-13T12:00:00Z,EMAIL,APPROVED,18,2026-08-13T12:00:00Z,UPSERT,b001
INTERACTION-000093,1,HCP-000093,REPRESENTATIVE-000005,PRODUCT-000001,2026-07-13T12:00:00Z,EMAIL,APPROVED,19,2026-07-13T12:00:00Z,UPSERT,b001
INTERACTION-000094,1,HCP-000094,REPRESENTATIVE-000006,PRODUCT-000002,2026-07-26T12:00:00Z,EMAIL,APPROVED,20,2026-07-26T12:00:00Z,UPSERT,b001
INTERACTION-000095,1,HCP-000095,REPRESENTATIVE-000007,PRODUCT-000003,2026-08-09T12:00:00Z,EMAIL,APPROVED,21,2026-08-09T12:00:00Z,UPSERT,b001
INTERACTION-000096,1,HCP-000096,REPRESENTATIVE-000008,PRODUCT-000004,2026-09-05T12:00:00Z,EMAIL,APPROVED,22,2026-09-05T12:00:00Z,UPSERT,b001
INTERACTION-000097,1,HCP-000097,REPRESENTATIVE-000001,PRODUCT-000001,2026-08-09T12:00:00Z,EMAIL,APPROVED,23,2026-08-09T12:00:00Z,UPSERT,b001
INTERACTION-000098,1,HCP-000098,REPRESENTATIVE-000002,PRODUCT-000002,2026-07-29T12:00:00Z,EMAIL,APPROVED,24,2026-07-29T12:00:00Z,UPSERT,b001
INTERACTION-000099,1,HCP-000099,REPRESENTATIVE-000003,PRODUCT-000003,2026-07-25T12:00:00Z,EMAIL,APPROVED,25,2026-07-25T12:00:00Z,UPSERT,b001
INTERACTION-000100,1,HCP-000100,REPRESENTATIVE-000004,PRODUCT-000004,2026-08-06T12:00:00Z,EMAIL,APPROVED,26,2026-08-06T12:00:00Z,UPSERT,b001
INTERACTION-000101,1,HCP-000001,REPRESENTATIVE-000005,PRODUCT-000001,2026-08-18T12:00:00Z,EMAIL,APPROVED,27,2026-08-18T12:00:00Z,UPSERT,b001
INTERACTION-000102,1,HCP-000002,REPRESENTATIVE-000006,PRODUCT-000002,2026-08-20T12:00:00Z,EMAIL,APPROVED,28,2026-08-20T12:00:00Z,UPSERT,b001
INTERACTION-000103,1,HCP-000003,REPRESENTATIVE-000007,PRODUCT-000003,2026-08-28T12:00:00Z,EMAIL,APPROVED,29,2026-08-28T12:00:00Z,UPSERT,b001
INTERACTION-000104,1,HCP-000004,REPRESENTATIVE-000008,PRODUCT-000004,2026-08-03T12:00:00Z,EMAIL,APPROVED,30,2026-08-03T12:00:00Z,UPSERT,b001
INTERACTION-000105,1,HCP-000005,REPRESENTATIVE-000001,PRODUCT-000001,2026-07-11T12:00:00Z,EMAIL,APPROVED,10,2026-07-11T12:00:00Z,UPSERT,b001
INTERACTION-000106,1,HCP-000006,REPRESENTATIVE-000002,PRODUCT-000002,2026-08-18T12:00:00Z,EMAIL,APPROVED,11,2026-08-18T12:00:00Z,UPSERT,b001
INTERACTION-000107,1,HCP-000007,REPRESENTATIVE-000003,PRODUCT-000003,2026-09-09T12:00:00Z,EMAIL,APPROVED,12,2026-09-09T12:00:00Z,UPSERT,b001
INTERACTION-000108,1,HCP-000008,REPRESENTATIVE-000004,PRODUCT-000004,2026-07-03T12:00:00Z,EMAIL,APPROVED,13,2026-07-03T12:00:00Z,UPSERT,b001
INTERACTION-000109,1,HCP-000009,REPRESENTATIVE-000005,PRODUCT-000001,2026-08-26T12:00:00Z,EMAIL,APPROVED,14,2026-08-26T12:00:00Z,UPSERT,b001
INTERACTION-000110,1,HCP-000010,REPRESENTATIVE-000006,PRODUCT-000002,2026-07-02T12:00:00Z,EMAIL,APPROVED,15,2026-07-02T12:00:00Z,UPSERT,b001
INTERACTION-000111,1,HCP-000011,REPRESENTATIVE-000007,PRODUCT-000003,2026-07-03T12:00:00Z,EMAIL,APPROVED,16,2026-07-03T12:00:00Z,UPSERT,b001
INTERACTION-000112,1,HCP-000012,REPRESENTATIVE-000008,PRODUCT-000004,2026-09-08T12:00:00Z,EMAIL,APPROVED,17,2026-09-08T12:00:00Z,UPSERT,b001
INTERACTION-000113,1,HCP-000013,REPRESENTATIVE-000001,PRODUCT-000001,2026-08-22T12:00:00Z,EMAIL,APPROVED,18,2026-08-22T12:00:00Z,UPSERT,b001
INTERACTION-000114,1,HCP-000014,REPRESENTATIVE-000002,PRODUCT-000002,2026-08-13T12:00:00Z,EMAIL,APPROVED,19,2026-08-13T12:00:00Z,UPSERT,b001
INTERACTION-000115,1,HCP-000015,REPRESENTATIVE-000003,PRODUCT-000003,2026-08-10T12:00:00Z,EMAIL,APPROVED,20,2026-08-10T12:00:00Z,UPSERT,b001
INTERACTION-000116,1,HCP-000016,REPRESENTATIVE-000004,PRODUCT-000004,2026-07-06T12:00:00Z,EMAIL,APPROVED,21,2026-07-06T12:00:00Z,UPSERT,b001
INTERACTION-000117,1,HCP-000017,REPRESENTATIVE-000005,PRODUCT-000001,2026-07-09T12:00:00Z,EMAIL,APPROVED,22,2026-07-09T12:00:00Z,UPSERT,b001
INTERACTION-000118,1,HCP-000018,REPRESENTATIVE-000006,PRODUCT-000002,2026-08-17T12:00:00Z,EMAIL,APPROVED,23,2026-08-17T12:00:00Z,UPSERT,b001
INTERACTION-000119,1,HCP-000019,REPRESENTATIVE-000007,PRODUCT-000003,2026-08-18T12:00:00Z,EMAIL,APPROVED,24,2026-08-18T12:00:00Z,UPSERT,b001
INTERACTION-000120,1,HCP-000020,REPRESENTATIVE-000008,PRODUCT-000004,2026-07-31T12:00:00Z,EMAIL,APPROVED,25,2026-07-31T12:00:00Z,UPSERT,b001
INTERACTION-000121,1,HCP-000021,REPRESENTATIVE-000001,PRODUCT-000001,2026-07-30T12:00:00Z,EMAIL,APPROVED,26,2026-07-30T12:00:00Z,UPSERT,b001
INTERACTION-000122,1,HCP-000022,REPRESENTATIVE-000002,PRODUCT-000002,2026-07-07T12:00:00Z,EMAIL,APPROVED,27,2026-07-07T12:00:00Z,UPSERT,b001
INTERACTION-000123,1,HCP-000023,REPRESENTATIVE-000003,PRODUCT-000003,2026-08-18T12:00:00Z,EMAIL,DRAFT,28,2026-08-18T12:00:00Z,UPSERT,b001
INTERACTION-000124,1,HCP-000024,REPRESENTATIVE-000004,PRODUCT-000004,2026-07-24T12:00:00Z,EMAIL,APPROVED,29,2026-07-24T12:00:00Z,UPSERT,b001
INTERACTION-000125,1,HCP-000025,REPRESENTATIVE-000005,PRODUCT-000001,2026-08-19T12:00:00Z,EMAIL,APPROVED,30,2026-08-19T12:00:00Z,UPSERT,b001
INTERACTION-000126,1,HCP-000026,REPRESENTATIVE-000006,PRODUCT-000002,2026-07-31T12:00:00Z,EMAIL,APPROVED,10,2026-07-31T12:00:00Z,UPSERT,b001
INTERACTION-000127,1,HCP-000027,REPRESENTATIVE-000007,PRODUCT-000003,2026-09-08T12:00:00Z,EMAIL,APPROVED,11,2026-09-08T12:00:00Z,UPSERT,b001
INTERACTION-000128,1,HCP-000028,REPRESENTATIVE-000008,PRODUCT-000004,2026-07-20T12:00:00Z,EMAIL,APPROVED,12,2026-07-20T12:00:00Z,UPSERT,b001
INTERACTION-000129,1,HCP-000029,REPRESENTATIVE-000001,PRODUCT-000001,2026-08-03T12:00:00Z,EMAIL,APPROVED,13,2026-08-03T12:00:00Z,UPSERT,b001
INTERACTION-000130,1,HCP-000030,REPRESENTATIVE-000002,PRODUCT-000002,2026-07-04T12:00:00Z,EMAIL,APPROVED,14,2026-07-04T12:00:00Z,UPSERT,b001
INTERACTION-000131,1,HCP-000031,REPRESENTATIVE-000003,PRODUCT-000003,2026-08-10T12:00:00Z,EMAIL,APPROVED,15,2026-08-10T12:00:00Z,UPSERT,b001
INTERACTION-000132,1,HCP-000032,REPRESENTATIVE-000004,PRODUCT-000004,2026-09-08T12:00:00Z,EMAIL,APPROVED,16,2026-09-08T12:00:00Z,UPSERT,b001
INTERACTION-000133,1,HCP-000033,REPRESENTATIVE-000005,PRODUCT-000001,2026-08-19T12:00:00Z,EMAIL,APPROVED,17,2026-08-19T12:00:00Z,UPSERT,b001
INTERACTION-000134,1,HCP-000034,REPRESENTATIVE-000006,PRODUCT-000002,2026-07-16T12:00:00Z,EMAIL,APPROVED,18,2026-07-16T12:00:00Z,UPSERT,b001
INTERACTION-000135,1,HCP-000035,REPRESENTATIVE-000007,PRODUCT-000003,2026-07-21T12:00:00Z,EMAIL,APPROVED,19,2026-07-21T12:00:00Z,UPSERT,b001
INTERACTION-000136,1,HCP-000036,REPRESENTATIVE-000008,PRODUCT-000004,2026-07-28T12:00:00Z,EMAIL,APPROVED,20,2026-07-28T12:00:00Z,UPSERT,b001
INTERACTION-000137,1,HCP-000037,REPRESENTATIVE-000001,PRODUCT-000001,2026-08-08T12:00:00Z,EMAIL,APPROVED,21,2026-08-08T12:00:00Z,UPSERT,b001
INTERACTION-000138,1,HCP-000038,REPRESENTATIVE-000002,PRODUCT-000002,2026-09-05T12:00:00Z,EMAIL,APPROVED,22,2026-09-05T12:00:00Z,UPSERT,b001
INTERACTION-000139,1,HCP-000039,REPRESENTATIVE-000003,PRODUCT-000003,2026-07-26T12:00:00Z,EMAIL,APPROVED,23,2026-07-26T12:00:00Z,UPSERT,b001
INTERACTION-000140,1,HCP-000040,REPRESENTATIVE-000004,PRODUCT-000004,2026-08-08T12:00:00Z,EMAIL,APPROVED,24,2026-08-08T12:00:00Z,UPSERT,b001
INTERACTION-000141,1,HCP-000041,REPRESENTATIVE-000005,PRODUCT-000001,2026-07-23T12:00:00Z,EMAIL,APPROVED,25,2026-07-23T12:00:00Z,UPSERT,b001
INTERACTION-000142,1,HCP-000042,REPRESENTATIVE-000006,PRODUCT-000002,2026-07-23T12:00:00Z,EMAIL,APPROVED,26,2026-07-23T12:00:00Z,UPSERT,b001
INTERACTION-000143,1,HCP-000043,REPRESENTATIVE-000007,PRODUCT-000003,2026-09-02T12:00:00Z,EMAIL,APPROVED,27,2026-09-02T12:00:00Z,UPSERT,b001
INTERACTION-000144,1,HCP-000044,REPRESENTATIVE-000008,PRODUCT-000004,2026-07-09T12:00:00Z,EMAIL,APPROVED,28,2026-07-09T12:00:00Z,UPSERT,b001
