observation_id,version_no,hcp_id,product_id,week_ending,trx_count,nrx_count,sales_units
OBS-2-1-4,1,HCP-000002,PRODUCT-000001,2026-08-02,14,4,28
OBS-2-1-5,1,HCP-000002,PRODUCT-000001,2026-08-09,32,10,64
OBS-2-1-6,1,HCP-000002,PRODUCT-000001,2026-08-16,3,1,6
OBS-2-1-7,1,HCP-000002,PRODUCT-000001,2026-08-23,27,9,54
OBS-2-1-8,1,HCP-000002,PRODUCT-000001,2026-08-30,7,2,14
OBS-2-1-9,1,HCP-000002,PRODUCT-000001,2026-09-06,15,5,30
OBS-2-2-0,1,HCP-000002,PRODUCT-000002,2026-07-05,31,10,62
OBS-2-2-1,1,HCP-000002,PRODUCT-000002,2026-07-12,4,1,8
OBS-2-2-2,1,HCP-000002,PRODUCT-000002,2026-07-19,2,0,4
OBS-2-2-3,1,HCP-000002,PRODUCT-000002,2026-07-26,32,10,64
OBS-2-2-4,1,HCP-000002,PRODUCT-000002,2026-08-02,23,7,46
OBS-2-2-5,1,HCP-000002,PRODUCT-000002,2026-08-09,29,9,58
OBS-2-2-6,1,HCP-000002,PRODUCT-000002,2026-08-16,31,10,62
OBS-2-2-7,1,HCP-000002,PRODUCT-000002,2026-08-23,37,12,74
OBS-2-2-8,1,HCP-000002,PRODUCT-000002,2026-08-30,15,5,30
OBS-2-2-9,1,HCP-000002,PRODUCT-000002,2026-09-06,39,13,78
OBS-2-3-0,1,HCP-000002,PRODUCT-000003,2026-07-05,28,9,56
OBS-2-3-1,1,HCP-000002,PRODUCT-000003,2026-07-12,19,6,38
OBS-2-3-2,1,HCP-000002,PRODUCT-000003,2026-07-19,9,3,18
OBS-2-3-3,1,HCP-000002,PRODUCT-000003,2026-07-26,20,6,40
OBS-2-3-4,1,HCP-000002,PRODUCT-000003,2026-08-02,15,5,30
OBS-2-3-5,1,HCP-000002,PRODUCT-000003,2026-08-09,20,6,40
OBS-2-3-6,1,HCP-000002,PRODUCT-000003,2026-08-16,30,10,60
OBS-2-3-7,1,HCP-000002,PRODUCT-000003,2026-08-23,24,8,48
OBS-2-3-8,1,HCP-000002,PRODUCT-000003,2026-08-30,9,3,18
OBS-2-3-9,1,HCP-000002,PRODUCT-000003,2026-09-06,28,9,56
OBS-2-4-0,1,HCP-000002,PRODUCT-000004,2026-07-05,21,7,42
OBS-2-4-1,1,HCP-000002,PRODUCT-000004,2026-07-12,32,10,64
OBS-2-4-2,1,HCP-000002,PRODUCT-000004,2026-07-19,20,6,40
OBS-2-4-3,1,HCP-000002,PRODUCT-000004,2026-07-26,7,2,14
OBS-2-4-4,1,HCP-000002,PRODUCT-000004,2026-08-02,20,6,40
OBS-2-4-5,1,HCP-000002,PRODUCT-000004,2026-08-09,3,1,6
OBS-2-4-6,1,HCP-000002,PRODUCT-000004,2026-08-16,7,2,14
OBS-2-4-7,1,HCP-000002,PRODUCT-000004,2026-08-23,24,8,48
OBS-2-4-8,1,HCP-000002,PRODUCT-000004,2026-08-30,35,11,70
OBS-2-4-9,1,HCP-000002,PRODUCT-000004,2026-09-06,5,1,10
OBS-3-1-0,1,HCP-000003,PRODUCT-000001,2026-07-05,13,4,26
OBS-3-1-1,1,HCP-000003,PRODUCT-000001,2026-07-12,12,4,24
OBS-3-1-2,1,HCP-000003,PRODUCT-000001,2026-07-19,34,11,68
OBS-3-1-3,1,HCP-000003,PRODUCT-000001,2026-07-26,8,2,16
OBS-3-1-4,1,HCP-000003,PRODUCT-000001,2026-08-02,28,9,56
OBS-3-1-5,1,HCP-000003,PRODUCT-000001,2026-08-09,32,10,64
OBS-3-1-6,1,HCP-000003,PRODUCT-000001,2026-08-16,31,10,62
OBS-3-1-7,1,HCP-000003,PRODUCT-000001,2026-08-23,37,12,74
OBS-3-1-8,1,HCP-000003,PRODUCT-000001,2026-08-30,37,12,74
OBS-3-1-9,1,HCP-000003,PRODUCT-000001,2026-09-06,39,13,78
OBS-3-2-0,1,HCP-000003,PRODUCT-000002,2026-07-05,32,10,64
OBS-3-2-1,1,HCP-000003,PRODUCT-000002,2026-07-12,31,10,62
OBS-3-2-2,1,HCP-000003,PRODUCT-000002,2026-07-19,30,10,60
OBS-3-2-3,1,HCP-000003,PRODUCT-000002,2026-07-26,35,11,70
OBS-3-2-4,1,HCP-000003,PRODUCT-000002,2026-08-02,16,5,32
OBS-3-2-5,1,HCP-000003,PRODUCT-000002,2026-08-09,20,6,40
OBS-3-2-6,1,HCP-000003,PRODUCT-000002,2026-08-16,32,10,64
OBS-3-2-7,1,HCP-000003,PRODUCT-000002,2026-08-23,19,6,38
OBS-3-2-8,1,HCP-000003,PRODUCT-000002,2026-08-30,13,4,26
OBS-3-2-9,1,HCP-000003,PRODUCT-000002,2026-09-06,37,12,74
OBS-3-3-0,1,HCP-000003,PRODUCT-000003,2026-07-05,20,6,40
OBS-3-3-1,1,HCP-000003,PRODUCT-000003,2026-07-12,10,3,20
OBS-3-3-2,1,HCP-000003,PRODUCT-000003,2026-07-19,3,1,6
OBS-3-3-3,1,HCP-000003,PRODUCT-000003,2026-07-26,30,10,60
OBS-3-3-4,1,HCP-000003,PRODUCT-000003,2026-08-02,15,5,30
OBS-3-3-5,1,HCP-000003,PRODUCT-000003,2026-08-09,15,5,30
OBS-3-3-6,1,HCP-000003,PRODUCT-000003,2026-08-16,21,7,42
OBS-3-3-7,1,HCP-000003,PRODUCT-000003,2026-08-23,9,3,18
OBS-3-3-8,1,HCP-000003,PRODUCT-000003,2026-08-30,23,7,46
OBS-3-3-9,1,HCP-000003,PRODUCT-000003,2026-09-06,36,12,72
OBS-3-4-0,1,HCP-000003,PRODUCT-000004,2026-07-05,13,4,26
OBS-3-4-1,1,HCP-000003,PRODUCT-000004,2026-07-12,9,3,18
OBS-3-4-2,1,HCP-000003,PRODUCT-000004,2026-07-19,9,3,18
OBS-3-4-3,1,HCP-000003,PRODUCT-000004,2026-07-26,19,6,38
OBS-3-4-4,1,HCP-000003,PRODUCT-000004,2026-08-02,36,12,72
OBS-3-4-5,1,HCP-000003,PRODUCT-000004,2026-08-09,26,8,52
OBS-3-4-6,1,HCP-000003,PRODUCT-000004,2026-08-16,1,0,2
OBS-3-4-7,1,HCP-000003,PRODUCT-000004,2026-08-23,38,12,76
OBS-3-4-8,1,HCP-000003,PRODUCT-000004,2026-08-30,32,10,64
OBS-3-4-9,1,HCP-000003,PRODUCT-000004,2026-09-06,16,5,32
OBS-4-1-0,1,HCP-000004,PRODUCT-000001,2026-07-05,24,8,48
OBS-4-1-1,1,HCP-000004,PRODUCT-000001,2026-07-12,24,8,48
OBS-4-1-2,1,HCP-000004,PRODUCT-000001,2026-07-19,5,1,10
OBS-4-1-3,1,HCP-000004,PRODUCT-000001,2026-07-26,28,9,56
OBS-4-1-4,1,HCP-000004,PRODUCT-000001,2026-08-02,2,0,4
OBS-4-1-5,1,HCP-000004,PRODUCT-000001,2026-08-09,30,10,60
OBS-4-1-6,1,HCP-000004,PRODUCT-000001,2026-08-16,3,1,6
OBS-4-1-7,1,HCP-000004,PRODUCT-000001,2026-08-23,27,9,54
OBS-4-1-8,1,HCP-000004,PRODUCT-000001,2026-08-30,21,7,42
OBS-4-1-9,1,HCP-000004,PRODUCT-000001,2026-09-06,6,2,12
OBS-4-2-0,1,HCP-000004,PRODUCT-000002,2026-07-05,9,3,18
OBS-4-2-1,1,HCP-000004,PRODUCT-000002,2026-07-12,33,11,66
OBS-4-2-2,1,HCP-000004,PRODUCT-000002,2026-07-19,20,6,40
OBS-4-2-3,1,HCP-000004,PRODUCT-000002,2026-07-26,21,7,42
OBS-4-2-4,1,HCP-000004,PRODUCT-000002,2026-08-02,9,3,18
OBS-4-2-5,1,HCP-000004,PRODUCT-000002,2026-08-09,31,10,62
OBS-4-2-6,1,HCP-000004,PRODUCT-000002,2026-08-16,10,3,20
OBS-4-2-7,1,HCP-000004,PRODUCT-000002,2026-08-23,2,0,4
OBS-4-2-8,1,HCP-000004,PRODUCT-000002,2026-08-30,5,1,10
OBS-4-2-9,1,HCP-000004,PRODUCT-000002,2026-09-06,8,2,16
OBS-4-3-0,1,HCP-000004,PRODUCT-000003,2026-07-05,34,11,68
OBS-4-3-1,1,HCP-000004,PRODUCT-000003,2026-07-12,3,1,6
OBS-4-3-2,1,HCP-000004,PRODUCT-000003,2026-07-19,18,6,36
OBS-4-3-3,1,HCP-000004,PRODUCT-000003,2026-07-26,6,2,12
OBS-4-3-4,1,HCP-000004,PRODUCT-000003,2026-08-02,7,2,14
OBS-4-3-5,1,HCP-000004,PRODUCT-000003,2026-08-09,15,5,30
OBS-4-3-6,1,HCP-000004,PRODUCT-000003,2026-08-16,13,4,26
OBS-4-3-7,1,HCP-000004,PRODUCT-000003,2026-08-23,30,10,60
OBS-4-3-8,1,HCP-000004,PRODUCT-000003,2026-08-30,35,11,70
OBS-4-3-9,1,HCP-000004,PRODUCT-000003,2026-09-06,15,5,30
OBS-4-4-0,1,HCP-000004,PRODUCT-000004,2026-07-05,28,9,56
OBS-4-4-1,1,HCP-000004,PRODUCT-000004,2026-07-12,33,11,66
OBS-4-4-2,1,HCP-000004,PRODUCT-000004,2026-07-19,30,10,60
OBS-4-4-3,1,HCP-000004,PRODUCT-000004,2026-07-26,22,7,44
OBS-4-4-4,1,HCP-000004,PRODUCT-000004,2026-08-02,9,3,18
OBS-4-4-5,1,HCP-000004,PRODUCT-000004,2026-08-09,29,9,58
OBS-4-4-6,1,HCP-000004,PRODUCT-000004,2026-08-16,18,6,36
OBS-4-4-7,1,HCP-000004,PRODUCT-000004,2026-08-23,36,12,72
OBS-4-4-8,1,HCP-000004,PRODUCT-000004,2026-08-30,14,4,28
OBS-4-4-9,1,HCP-000004,PRODUCT-000004,2026-09-06,2,0,4
OBS-5-1-0,1,HCP-000005,PRODUCT-000001,2026-07-05,34,11,68
OBS-5-1-1,1,HCP-000005,PRODUCT-000001,2026-07-12,19,6,38
OBS-5-1-2,1,HCP-000005,PRODUCT-000001,2026-07-19,21,7,42
OBS-5-1-3,1,HCP-000005,PRODUCT-000001,2026-07-26,1,0,2
OBS-5-1-4,1,HCP-000005,PRODUCT-000001,2026-08-02,9,3,18
OBS-5-1-5,1,HCP-000005,PRODUCT-000001,2026-08-09,14,4,28
OBS-5-1-6,1,HCP-000005,PRODUCT-000001,2026-08-16,36,12,72
OBS-5-1-7,1,HCP-000005,PRODUCT-000001,2026-08-23,10,3,20
OBS-5-1-8,1,HCP-000005,PRODUCT-000001,2026-08-30,15,5,30
OBS-5-1-9,1,HCP-000005,PRODUCT-000001,2026-09-06,9,3,18
OBS-5-2-0,1,HCP-000005,PRODUCT-000002,2026-07-05,21,7,42
OBS-5-2-1,1,HCP-000005,PRODUCT-000002,2026-07-12,14,4,28
OBS-5-2-2,1,HCP-000005,PRODUCT-000002,2026-07-19,26,8,52
OBS-5-2-3,1,HCP-000005,PRODUCT-000002,2026-07-26,10,3,20
OBS-5-2-4,1,HCP-000005,PRODUCT-000002,2026-08-02,33,11,66
OBS-5-2-5,1,HCP-000005,PRODUCT-000002,2026-08-09,19,6,38
OBS-5-2-6,1,HCP-000005,PRODUCT-000002,2026-08-16,10,3,20
OBS-5-2-7,1,HCP-000005,PRODUCT-000002,2026-08-23,35,11,70
OBS-5-2-8,1,HCP-000005,PRODUCT-000002,2026-08-30,30,10,60
OBS-5-2-9,1,HCP-000005,PRODUCT-000002,2026-09-06,22,7,44
OBS-5-3-0,1,HCP-000005,PRODUCT-000003,2026-07-05,31,10,62
OBS-5-3-1,1,HCP-000005,PRODUCT-000003,2026-07-12,29,9,58
OBS-5-3-2,1,HCP-000005,PRODUCT-000003,2026-07-19,20,6,40
OBS-5-3-3,1,HCP-000005,PRODUCT-000003,2026-07-26,25,8,50
OBS-5-3-4,1,HCP-000005,PRODUCT-000003,2026-08-02,37,12,74
OBS-5-3-5,1,HCP-000005,PRODUCT-000003,2026-08-09,21,7,42
OBS-5-3-6,1,HCP-000005,PRODUCT-000003,2026-08-16,15,5,30
OBS-5-3-7,1,HCP-000005,PRODUCT-000003,2026-08-23,16,5,32
OBS-5-3-8,1,HCP-000005,PRODUCT-000003,2026-08-30,24,8,48
OBS-5-3-9,1,HCP-000005,PRODUCT-000003,2026-09-06,34,11,68
OBS-5-4-0,1,HCP-000005,PRODUCT-000004,2026-07-05,29,9,58
OBS-5-4-1,1,HCP-000005,PRODUCT-000004,2026-07-12,16,5,32
OBS-5-4-2,1,HCP-000005,PRODUCT-000004,2026-07-19,28,9,56
OBS-5-4-3,1,HCP-000005,PRODUCT-000004,2026-07-26,39,13,78
OBS-5-4-4,1,HCP-000005,PRODUCT-000004,2026-08-02,3,1,6
OBS-5-4-5,1,HCP-000005,PRODUCT-000004,2026-08-09,13,4,26
OBS-5-4-6,1,HCP-000005,PRODUCT-000004,2026-08-16,36,12,72
OBS-5-4-7,1,HCP-000005,PRODUCT-000004,2026-08-23,21,7,42
OBS-5-4-8,1,HCP-000005,PRODUCT-000004,2026-08-30,34,11,68
OBS-5-4-9,1,HCP-000005,PRODUCT-000004,2026-09-06,13,4,26
OBS-6-1-0,1,HCP-000006,PRODUCT-000001,2026-07-05,25,8,50
OBS-6-1-1,1,HCP-000006,PRODUCT-000001,2026-07-12,24,8,48
OBS-6-1-2,1,HCP-000006,PRODUCT-000001,2026-07-19,35,11,70
OBS-6-1-3,1,HCP-000006,PRODUCT-000001,2026-07-26,23,7,46
OBS-6-1-4,1,HCP-000006,PRODUCT-000001,2026-08-02,14,4,28
OBS-6-1-5,1,HCP-000006,PRODUCT-000001,2026-08-09,38,12,76
OBS-6-1-6,1,HCP-000006,PRODUCT-000001,2026-08-16,4,1,8
OBS-6-1-7,1,HCP-000006,PRODUCT-000001,2026-08-23,9,3,18
OBS-6-1-8,1,HCP-000006,PRODUCT-000001,2026-08-30,27,9,54
OBS-6-1-9,1,HCP-000006,PRODUCT-000001,2026-09-06,3,1,6
OBS-6-2-0,1,HCP-000006,PRODUCT-000002,2026-07-05,34,11,68
OBS-6-2-1,1,HCP-000006,PRODUCT-000002,2026-07-12,27,9,54
OBS-6-2-2,1,HCP-000006,PRODUCT-000002,2026-07-19,21,7,42
OBS-6-2-3,1,HCP-000006,PRODUCT-000002,2026-07-26,30,10,60
OBS-6-2-4,1,HCP-000006,PRODUCT-000002,2026-08-02,30,10,60
OBS-6-2-5,1,HCP-000006,PRODUCT-000002,2026-08-09,29,9,58
OBS-6-2-6,1,HCP-000006,PRODUCT-000002,2026-08-16,1,0,2
OBS-6-2-7,1,HCP-000006,PRODUCT-000002,2026-08-23,11,3,22
OBS-6-2-8,1,HCP-000006,PRODUCT-000002,2026-08-30,10,3,20
OBS-6-2-9,1,HCP-000006,PRODUCT-000002,2026-09-06,16,5,32
OBS-6-3-0,1,HCP-000006,PRODUCT-000003,2026-07-05,7,2,14
OBS-6-3-1,1,HCP-000006,PRODUCT-000003,2026-07-12,23,7,46
OBS-6-3-2,1,HCP-000006,PRODUCT-000003,2026-07-19,2,0,4
OBS-6-3-3,1,HCP-000006,PRODUCT-000003,2026-07-26,11,3,22
OBS-6-3-4,1,HCP-000006,PRODUCT-000003,2026-08-02,4,1,8
OBS-6-3-5,1,HCP-000006,PRODUCT-000003,2026-08-09,14,4,28
OBS-6-3-6,1,HCP-000006,PRODUCT-000003,2026-08-16,22,7,44
OBS-6-3-7,1,HCP-000006,PRODUCT-000003,2026-08-23,34,11,68
OBS-6-3-8,1,HCP-000006,PRODUCT-000003,2026-08-30,13,4,26
OBS-6-3-9,1,HCP-000006,PRODUCT-000003,2026-09-06,15,5,30
OBS-6-4-0,1,HCP-000006,PRODUCT-000004,2026-07-05,19,6,38
OBS-6-4-1,1,HCP-000006,PRODUCT-000004,2026-07-12,13,4,26
OBS-6-4-2,1,HCP-000006,PRODUCT-000004,2026-07-19,23,7,46
OBS-6-4-3,1,HCP-000006,PRODUCT-000004,2026-07-26,21,7,42
OBS-6-4-4,1,HCP-000006,PRODUCT-000004,2026-08-02,15,5,30
OBS-6-4-5,1,HCP-000006,PRODUCT-000004,2026-08-09,12,4,24
OBS-6-4-6,1,HCP-000006,PRODUCT-000004,2026-08-16,10,3,20
OBS-6-4-7,1,HCP-000006,PRODUCT-000004,2026-08-23,32,10,64
OBS-6-4-8,1,HCP-000006,PRODUCT-000004,2026-08-30,13,4,26
OBS-6-4-9,1,HCP-000006,PRODUCT-000004,2026-09-06,6,2,12
OBS-7-1-0,1,HCP-000007,PRODUCT-000001,2026-07-05,38,12,76
OBS-7-1-1,1,HCP-000007,PRODUCT-000001,2026-07-12,39,13,78
OBS-7-1-2,1,HCP-000007,PRODUCT-000001,2026-07-19,19,6,38
OBS-7-1-3,1,HCP-000007,PRODUCT-000001,2026-07-26,17,5,34
OBS-7-1-4,1,HCP-000007,PRODUCT-000001,2026-08-02,14,4,28
OBS-7-1-5,1,HCP-000007,PRODUCT-000001,2026-08-09,26,8,52
OBS-7-1-6,1,HCP-000007,PRODUCT-000001,2026-08-16,38,12,76
OBS-7-1-7,1,HCP-000007,PRODUCT-000001,2026-08-23,31,10,62
OBS-7-1-8,1,HCP-000007,PRODUCT-000001,2026-08-30,4,1,8
OBS-7-1-9,1,HCP-000007,PRODUCT-000001,2026-09-06,18,6,36
OBS-7-2-0,1,HCP-000007,PRODUCT-000002,2026-07-05,35,11,70
OBS-7-2-1,1,HCP-000007,PRODUCT-000002,2026-07-12,28,9,56
OBS-7-2-2,1,HCP-000007,PRODUCT-000002,2026-07-19,29,9,58
OBS-7-2-3,1,HCP-000007,PRODUCT-000002,2026-07-26,31,10,62
OBS-7-2-4,1,HCP-000007,PRODUCT-000002,2026-08-02,19,6,38
OBS-7-2-5,1,HCP-000007,PRODUCT-000002,2026-08-09,19,6,38
OBS-7-2-6,1,HCP-000007,PRODUCT-000002,2026-08-16,23,7,46
OBS-7-2-7,1,HCP-000007,PRODUCT-000002,2026-08-23,1,0,2
OBS-7-2-8,1,HCP-000007,PRODUCT-000002,2026-08-30,22,7,44
OBS-7-2-9,1,HCP-000007,PRODUCT-000002,2026-09-06,2,0,4
OBS-7-3-0,1,HCP-000007,PRODUCT-000003,2026-07-05,23,7,46
OBS-7-3-1,1,HCP-000007,PRODUCT-000003,2026-07-12,24,8,48
OBS-7-3-2,1,HCP-000007,PRODUCT-000003,2026-07-19,19,6,38
OBS-7-3-3,1,HCP-000007,PRODUCT-000003,2026-07-26,22,7,44
OBS-7-3-4,1,HCP-000007,PRODUCT-000003,2026-08-02,24,8,48
OBS-7-3-5,1,HCP-000007,PRODUCT-000003,2026-08-09,20,6,40
OBS-7-3-6,1,HCP-000007,PRODUCT-000003,2026-08-16,17,5,34
OBS-7-3-7,1,HCP-000007,PRODUCT-000003,2026-08-23,29,9,58
OBS-7-3-8,1,HCP-000007,PRODUCT-000003,2026-08-30,36,12,72
OBS-7-3-9,1,HCP-000007,PRODUCT-000003,2026-09-06,3,1,6
OBS-7-4-0,1,HCP-000007,PRODUCT-000004,2026-07-05,16,5,32
OBS-7-4-1,1,HCP-000007,PRODUCT-000004,2026-07-12,36,12,72
OBS-7-4-2,1,HCP-000007,PRODUCT-000004,2026-07-19,25,8,50
OBS-7-4-3,1,HCP-000007,PRODUCT-000004,2026-07-26,28,9,56
OBS-7-4-4,1,HCP-000007,PRODUCT-000004,2026-08-02,21,7,42
OBS-7-4-5,1,HCP-000007,PRODUCT-000004,2026-08-09,35,11,70
OBS-7-4-6,1,HCP-000007,PRODUCT-000004,2026-08-16,28,9,56
OBS-7-4-7,1,HCP-000007,PRODUCT-000004,2026-08-23,14,4,28
OBS-7-4-8,1,HCP-000007,PRODUCT-000004,2026-08-30,8,2,16
OBS-7-4-9,1,HCP-000007,PRODUCT-000004,2026-09-06,15,5,30
OBS-8-1-0,1,HCP-000008,PRODUCT-000001,2026-07-05,36,12,72
OBS-8-1-1,1,HCP-000008,PRODUCT-000001,2026-07-12,26,8,52
OBS-8-1-2,1,HCP-000008,PRODUCT-000001,2026-07-19,26,8,52
OBS-8-1-3,1,HCP-000008,PRODUCT-000001,2026-07-26,23,7,46
OBS-8-1-4,1,HCP-000008,PRODUCT-000001,2026-08-02,18,6,36
OBS-8-1-5,1,HCP-000008,PRODUCT-000001,2026-08-09,3,1,6
OBS-8-1-6,1,HCP-000008,PRODUCT-000001,2026-08-16,23,7,46
OBS-8-1-7,1,HCP-000008,PRODUCT-000001,2026-08-23,38,12,76
OBS-8-1-8,1,HCP-000008,PRODUCT-000001,2026-08-30,22,7,44
OBS-8-1-9,1,HCP-000008,PRODUCT-000001,2026-09-06,21,7,42
OBS-8-2-0,1,HCP-000008,PRODUCT-000002,2026-07-05,19,6,38
OBS-8-2-1,1,HCP-000008,PRODUCT-000002,2026-07-12,22,7,44
OBS-8-2-2,1,HCP-000008,PRODUCT-000002,2026-07-19,24,8,48
OBS-8-2-3,1,HCP-000008,PRODUCT-000002,2026-07-26,35,11,70
OBS-8-2-4,1,HCP-000008,PRODUCT-000002,2026-08-02,38,12,76
OBS-8-2-5,1,HCP-000008,PRODUCT-000002,2026-08-09,24,8,48
OBS-8-2-6,1,HCP-000008,PRODUCT-000002,2026-08-16,35,11,70
OBS-8-2-7,1,HCP-000008,PRODUCT-000002,2026-08-23,6,2,12
OBS-8-2-8,1,HCP-000008,PRODUCT-000002,2026-08-30,17,5,34
OBS-8-2-9,1,HCP-000008,PRODUCT-000002,2026-09-06,18,6,36
OBS-8-3-0,1,HCP-000008,PRODUCT-000003,2026-07-05,20,6,40
OBS-8-3-1,1,HCP-000008,PRODUCT-000003,2026-07-12,13,4,26
OBS-8-3-2,1,HCP-000008,PRODUCT-000003,2026-07-19,17,5,34
OBS-8-3-3,1,HCP-000008,PRODUCT-000003,2026-07-26,30,10,60
OBS-8-3-4,1,HCP-000008,PRODUCT-000003,2026-08-02,26,8,52
OBS-8-3-5,1,HCP-000008,PRODUCT-000003,2026-08-09,34,11,68
OBS-8-3-6,1,HCP-000008,PRODUCT-000003,2026-08-16,19,6,38
OBS-8-3-7,1,HCP-000008,PRODUCT-000003,2026-08-23,21,7,42
OBS-8-3-8,1,HCP-000008,PRODUCT-000003,2026-08-30,30,10,60
OBS-8-3-9,1,HCP-000008,PRODUCT-000003,2026-09-06,27,9,54
OBS-8-4-0,1,HCP-000008,PRODUCT-000004,2026-07-05,10,3,20
OBS-8-4-1,1,HCP-000008,PRODUCT-000004,2026-07-12,3,1,6
OBS-8-4-2,1,HCP-000008,PRODUCT-000004,2026-07-19,20,6,40
OBS-8-4-3,1,HCP-000008,PRODUCT-000004,2026-07-26,25,8,50
OBS-8-4-4,1,HCP-000008,PRODUCT-000004,2026-08-02,39,13,78
OBS-8-4-5,1,HCP-000008,PRODUCT-000004,2026-08-09,28,9,56
OBS-8-4-6,1,HCP-000008,PRODUCT-000004,2026-08-16,30,10,60
OBS-8-4-7,1,HCP-000008,PRODUCT-000004,2026-08-23,4,1,8
OBS-8-4-8,1,HCP-000008,PRODUCT-000004,2026-08-30,8,2,16
OBS-8-4-9,1,HCP-000008,PRODUCT-000004,2026-09-06,27,9,54
OBS-9-1-0,1,HCP-000009,PRODUCT-000001,2026-07-05,25,8,50
OBS-9-1-1,1,HCP-000009,PRODUCT-000001,2026-07-12,16,5,32
OBS-9-1-2,1,HCP-000009,PRODUCT-000001,2026-07-19,13,4,26
OBS-9-1-3,1,HCP-000009,PRODUCT-000001,2026-07-26,1,0,2
OBS-9-1-4,1,HCP-000009,PRODUCT-000001,2026-08-02,4,1,8
OBS-9-1-5,1,HCP-000009,PRODUCT-000001,2026-08-09,10,3,20
OBS-9-1-6,1,HCP-000009,PRODUCT-000001,2026-08-16,1,0,2
OBS-9-1-7,1,HCP-000009,PRODUCT-000001,2026-08-23,11,3,22
OBS-9-1-8,1,HCP-000009,PRODUCT-000001,2026-08-30,36,12,72
OBS-9-1-9,1,HCP-000009,PRODUCT-000001,2026-09-06,2,0,4
OBS-9-2-0,1,HCP-000009,PRODUCT-000002,2026-07-05,3,1,6
