customer_key,territory_code,assignment_status
IQ_c5eb39b18ca20b,VE_b2208522e148c6,ASSIGNED
IQ_cce5e0ba716ecf,VE_106615cdd9ff03,ASSIGNED
IQ_d29d3ced32b323,VE_106615cdd9ff03,ASSIGNED
IQ_d8bc48cc73427b,VE_67198edffeb7a6,ASSIGNED
IQ_d92c297a26b4ad,VE_106615cdd9ff03,ASSIGNED
IQ_da1889c369f3aa,VE_b2208522e148c6,ASSIGNED
IQ_db5e4b31c72a78,VE_b2208522e148c6,ASSIGNED
IQ_de9f5d6bf88bc7,VE_106615cdd9ff03,ASSIGNED
IQ_e14d919e7ea858,VE_4fba8ad2115c09,ASSIGNED
IQ_ea35b752bd7dac,VE_b2208522e148c6,ASSIGNED
IQ_f0ae8bd8f9d2a8,VE_b2208522e148c6,ASSIGNED
IQ_f54562e3c643b5,VE_67198edffeb7a6,ASSIGNED
IQ_f559fad81801dc,VE_b2208522e148c6,ASSIGNED
IQ_f83c0c647f07c0,VE_4fba8ad2115c09,ASSIGNED
IQ_f99c4fc261de3c,VE_b2208522e148c6,ASSIGNED
IQ_fa30d3fbfe0eaa,VE_106615cdd9ff03,ASSIGNED
IQ_fdbb3d15d0fb0f,VE_4fba8ad2115c09,ASSIGNED
