affiliation_key,provider_key,organisation_key,relationship_type,is_primary,effective_from,effective_to
AFF-000055,IQ_0924a6da562c98,IQ_67c47f4c4dba5f,PRACTISES_AT,true,2026-07-01,
AFF-000056,IQ_f99c4fc261de3c,IQ_254a182aab103f,PRACTISES_AT,true,2026-07-01,
AFF-000057,IQ_21d1ec50b3e069,IQ_ffbd03f2b2da03,PRACTISES_AT,true,2026-07-01,
AFF-000058,IQ_b9f0f246c1b0e5,IQ_a0371ddf32ab1f,PRACTISES_AT,true,2026-07-01,
AFF-000059,IQ_6648ea2780803e,IQ_d24f39deecd139,PRACTISES_AT,true,2026-07-01,
AFF-000060,IQ_54eb2f31fd81c4,IQ_975dacb14b0a3e,PRACTISES_AT,true,2026-07-01,
AFF-000061,IQ_d29d3ced32b323,IQ_051dd3a3caebd7,PRACTISES_AT,true,2026-07-01,
AFF-000062,IQ_3dfe85e7cae767,IQ_47323edd520e2f,PRACTISES_AT,true,2026-07-01,
AFF-000063,IQ_7b0a140e80e73a,IQ_f1a4187264f338,PRACTISES_AT,true,2026-07-01,
AFF-000064,IQ_0f74fd147c74bd,IQ_a8dd57859a32d5,PRACTISES_AT,true,2026-07-01,
AFF-000065,IQ_48d6b84c70a4f2,IQ_27ed195924b1ac,PRACTISES_AT,true,2026-07-01,
AFF-000066,IQ_6f1507ed9f081a,IQ_8d78ae5022ef62,PRACTISES_AT,true,2026-07-01,
AFF-000067,IQ_2e15f14171efd2,IQ_67c47f4c4dba5f,PRACTISES_AT,true,2026-07-01,
AFF-000068,IQ_f559fad81801dc,IQ_254a182aab103f,PRACTISES_AT,true,2026-07-01,
AFF-000069,IQ_587a5d52e1a4df,IQ_ffbd03f2b2da03,PRACTISES_AT,true,2026-07-01,
AFF-000070,IQ_27d47adc2955b8,IQ_a0371ddf32ab1f,PRACTISES_AT,true,2026-07-01,
AFF-000071,IQ_d8bc48cc73427b,IQ_d24f39deecd139,PRACTISES_AT,true,2026-07-01,
AFF-000072,IQ_0a303a7880e935,IQ_975dacb14b0a3e,PRACTISES_AT,true,2026-07-01,
AFF-000073,IQ_08def56e473c8b,IQ_051dd3a3caebd7,PRACTISES_AT,true,2026-07-01,
AFF-000074,IQ_a693ef2a2ce111,IQ_47323edd520e2f,PRACTISES_AT,true,2026-07-01,
AFF-000075,IQ_212e5067a55b64,IQ_f1a4187264f338,PRACTISES_AT,true,2026-07-01,
AFF-000076,IQ_ea35b752bd7dac,IQ_a8dd57859a32d5,PRACTISES_AT,true,2026-07-01,
AFF-000077,IQ_de9f5d6bf88bc7,IQ_27ed195924b1ac,PRACTISES_AT,true,2026-07-01,
AFF-000078,IQ_8d5a147a182e01,IQ_8d78ae5022ef62,PRACTISES_AT,true,2026-07-01,
AFF-000079,IQ_39d652b58996e7,IQ_67c47f4c4dba5f,PRACTISES_AT,true,2026-07-01,
AFF-000080,IQ_b742d85b1af394,IQ_254a182aab103f,PRACTISES_AT,true,2026-07-01,
AFF-000081,IQ_1b727779854ab3,IQ_ffbd03f2b2da03,PRACTISES_AT,true,2026-07-01,
AFF-000082,IQ_01a21f98815364,IQ_a0371ddf32ab1f,PRACTISES_AT,true,2026-07-01,
AFF-000083,IQ_87b762d0f01c95,IQ_d24f39deecd139,PRACTISES_AT,true,2026-07-01,
AFF-000084,IQ_db5e4b31c72a78,IQ_975dacb14b0a3e,PRACTISES_AT,true,2026-07-01,
AFF-000085,IQ_2ed3fcb44618c9,IQ_051dd3a3caebd7,PRACTISES_AT,true,2026-07-01,
AFF-000086,IQ_73f40fd1707597,IQ_47323edd520e2f,PRACTISES_AT,true,2026-07-01,
AFF-000087,IQ_92918c3b2f4fdb,IQ_f1a4187264f338,PRACTISES_AT,true,2026-07-01,
AFF-000088,IQ_2472ae6f311b48,IQ_a8dd57859a32d5,PRACTISES_AT,true,2026-07-01,
AFF-000089,IQ_fa30d3fbfe0eaa,IQ_27ed195924b1ac,PRACTISES_AT,true,2026-07-01,
AFF-000090,IQ_72437542771259,IQ_8d78ae5022ef62,PRACTISES_AT,true,2026-07-01,
AFF-000091,IQ_9618214b0f52fe,IQ_67c47f4c4dba5f,PRACTISES_AT,true,2026-07-01,
AFF-000092,IQ_da1889c369f3aa,IQ_254a182aab103f,PRACTISES_AT,true,2026-07-01,
AFF-000093,IQ_8574a122b9ffcf,IQ_ffbd03f2b2da03,PRACTISES_AT,true,2026-07-01,
AFF-000094,IQ_9793f962088daa,IQ_a0371ddf32ab1f,PRACTISES_AT,true,2026-07-01,
AFF-000095,IQ_af36945ece0ade,IQ_d24f39deecd139,PRACTISES_AT,true,2026-07-01,
AFF-000096,IQ_0761c9286a2f08,IQ_975dacb14b0a3e,PRACTISES_AT,true,2026-07-01,
AFF-000097,IQ_319a00f1c5d469,IQ_051dd3a3caebd7,PRACTISES_AT,true,2026-07-01,
AFF-000098,IQ_2674a44d322f11,IQ_47323edd520e2f,PRACTISES_AT,true,2026-07-01,
AFF-000099,IQ_2d3b19f7ba0a85,IQ_f1a4187264f338,PRACTISES_AT,true,2026-07-01,
AFF-000100,IQ_b261065f5903a5,IQ_a8dd57859a32d5,PRACTISES_AT,true,2026-07-01,
