membership_key,campaign_key,contact_key,member_status
MEM-2-39,SA_318a40d483dc2e,SA_10aaee76be65b3,ENROLLED
MEM-2-40,SA_318a40d483dc2e,SA_665d0ea6f39e78,ENROLLED
MEM-3-41,SA_64c1439171f0f7,SA_a5e2c9be211868,ENROLLED
MEM-3-42,SA_64c1439171f0f7,SA_9bcefb2e572e99,ENROLLED
MEM-3-43,SA_64c1439171f0f7,SA_5de98e0c9cb608,ENROLLED
MEM-3-44,SA_64c1439171f0f7,SA_5d91b170329cd7,ENROLLED
MEM-3-45,SA_64c1439171f0f7,SA_c0e5b1cfc936be,ENROLLED
MEM-3-46,SA_64c1439171f0f7,SA_9ea8efa9ff085c,ENROLLED
MEM-3-47,SA_64c1439171f0f7,SA_1f52de40b45edc,ENROLLED
MEM-3-48,SA_64c1439171f0f7,SA_da18e9ae487349,ENROLLED
MEM-3-49,SA_64c1439171f0f7,SA_fc75b7e9258795,ENROLLED
MEM-3-50,SA_64c1439171f0f7,SA_ae4540a06f6a0d,ENROLLED
MEM-3-51,SA_64c1439171f0f7,SA_45bcdb916a41dd,ENROLLED
MEM-3-52,SA_64c1439171f0f7,SA_51fa007246996d,ENROLLED
MEM-3-53,SA_64c1439171f0f7,SA_93a35557622442,ENROLLED
MEM-3-54,SA_64c1439171f0f7,SA_e9363d380e20dd,ENROLLED
MEM-3-55,SA_64c1439171f0f7,SA_92416d05cd0fb6,ENROLLED
MEM-3-56,SA_64c1439171f0f7,SA_70b6d5146f58da,ENROLLED
MEM-3-57,SA_64c1439171f0f7,SA_1aa7ea070cfa26,ENROLLED
MEM-3-58,SA_64c1439171f0f7,SA_9cd1470eea060f,ENROLLED
MEM-3-59,SA_64c1439171f0f7,SA_a3a74ed72134bd,ENROLLED
MEM-3-60,SA_64c1439171f0f7,SA_37cfac97451096,ENROLLED
MEM-4-61,SA_63446f59919263,SA_144175cbdfc8af,ENROLLED
MEM-4-62,SA_63446f59919263,SA_995e1e28b39582,ENROLLED
MEM-4-63,SA_63446f59919263,SA_319cb5d9db1558,ENROLLED
MEM-4-64,SA_63446f59919263,SA_eb737494117d03,ENROLLED
MEM-4-65,SA_63446f59919263,SA_71223412eae6b8,ENROLLED
MEM-4-66,SA_63446f59919263,SA_19ac7d572e1b80,ENROLLED
MEM-4-67,SA_63446f59919263,SA_cb012f031f3f89,ENROLLED
MEM-4-68,SA_63446f59919263,SA_69b7b6a260590c,ENROLLED
MEM-4-69,SA_63446f59919263,SA_a30a132566642a,ENROLLED
MEM-4-70,SA_63446f59919263,SA_48c8bdd798d796,ENROLLED
MEM-4-71,SA_63446f59919263,SA_3ccf51761c3160,ENROLLED
MEM-4-72,SA_63446f59919263,SA_b993a1c3cd5c66,ENROLLED
MEM-4-73,SA_63446f59919263,SA_c44bf1b7e3c3ae,ENROLLED
MEM-4-74,SA_63446f59919263,SA_8dca3d40b22c53,ENROLLED
MEM-4-75,SA_63446f59919263,SA_72a23e46f9b595,ENROLLED
MEM-4-76,SA_63446f59919263,SA_93c3b0024ca108,ENROLLED
MEM-4-77,SA_63446f59919263,SA_8eab0c28cc364a,ENROLLED
MEM-4-78,SA_63446f59919263,SA_6e810cfae638ef,ENROLLED
MEM-4-79,SA_63446f59919263,SA_e8629aee60697b,ENROLLED
MEM-4-80,SA_63446f59919263,SA_22f58d1ec27455,ENROLLED
