assignment_key,provider_key,territory_code,effective_from,effective_to
ASSIGN-000027,IQ_51aeb27d07be6b,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000028,IQ_93d35e630ae6a9,VE_b2208522e148c6,2026-07-01,
ASSIGN-000029,IQ_7aeaa83a0a1c56,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000030,IQ_0bbbaaab35ea95,VE_4fba8ad2115c09,2026-07-01,
ASSIGN-000031,IQ_f54562e3c643b5,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000032,IQ_be1ad011586236,VE_b2208522e148c6,2026-07-01,
ASSIGN-000033,IQ_892ff68c2aaeda,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000034,IQ_9b17ca25ee17c9,VE_4fba8ad2115c09,2026-07-01,
ASSIGN-000035,IQ_05884139b2f597,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000036,IQ_f0ae8bd8f9d2a8,VE_b2208522e148c6,2026-07-01,
ASSIGN-000037,IQ_d92c297a26b4ad,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000038,IQ_70849c1fe756b7,VE_4fba8ad2115c09,2026-07-01,
ASSIGN-000039,IQ_715da7641aed2d,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000040,IQ_c5eb39b18ca20b,VE_b2208522e148c6,2026-07-01,
ASSIGN-000041,IQ_33b40f57a97926,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000042,IQ_f83c0c647f07c0,VE_4fba8ad2115c09,2026-07-01,
ASSIGN-000043,IQ_aa92849fd7cd30,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000044,IQ_06a6ec1d2ef8be,VE_b2208522e148c6,2026-07-01,
ASSIGN-000045,IQ_076d9a257d3fec,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000046,IQ_ad1c6f1f62ce12,VE_4fba8ad2115c09,2026-07-01,
ASSIGN-000047,IQ_1b3d6b1cddbd15,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000048,IQ_c555f3d5651536,VE_b2208522e148c6,2026-07-01,
ASSIGN-000049,IQ_cce5e0ba716ecf,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000050,IQ_2f9f098695e506,VE_4fba8ad2115c09,2026-07-01,
ASSIGN-000051,IQ_9c874b2d595221,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000052,IQ_25dc7ff2807b62,VE_b2208522e148c6,2026-07-01,
ASSIGN-000053,IQ_413c07c026c858,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000054,IQ_7cd8b403393f76,VE_4fba8ad2115c09,2026-07-01,
ASSIGN-000055,IQ_0924a6da562c98,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000056,IQ_f99c4fc261de3c,VE_b2208522e148c6,2026-07-01,
ASSIGN-000057,IQ_21d1ec50b3e069,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000058,IQ_b9f0f246c1b0e5,VE_4fba8ad2115c09,2026-07-01,
ASSIGN-000059,IQ_6648ea2780803e,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000060,IQ_54eb2f31fd81c4,VE_b2208522e148c6,2026-07-01,
ASSIGN-000061,IQ_d29d3ced32b323,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000062,IQ_3dfe85e7cae767,VE_4fba8ad2115c09,2026-07-01,
ASSIGN-000063,IQ_7b0a140e80e73a,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000064,IQ_0f74fd147c74bd,VE_b2208522e148c6,2026-07-01,
ASSIGN-000065,IQ_48d6b84c70a4f2,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000066,IQ_6f1507ed9f081a,VE_4fba8ad2115c09,2026-07-01,
ASSIGN-000067,IQ_2e15f14171efd2,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000068,IQ_f559fad81801dc,VE_b2208522e148c6,2026-07-01,
ASSIGN-000069,IQ_587a5d52e1a4df,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000070,IQ_27d47adc2955b8,VE_4fba8ad2115c09,2026-07-01,
ASSIGN-000071,IQ_d8bc48cc73427b,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000072,IQ_0a303a7880e935,VE_b2208522e148c6,2026-07-01,
ASSIGN-000073,IQ_08def56e473c8b,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000074,IQ_a693ef2a2ce111,VE_4fba8ad2115c09,2026-07-01,
ASSIGN-000075,IQ_212e5067a55b64,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000076,IQ_ea35b752bd7dac,VE_b2208522e148c6,2026-07-01,
ASSIGN-000077,IQ_de9f5d6bf88bc7,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000078,IQ_8d5a147a182e01,VE_4fba8ad2115c09,2026-07-01,
ASSIGN-000079,IQ_39d652b58996e7,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000080,IQ_b742d85b1af394,VE_b2208522e148c6,2026-07-01,
ASSIGN-000081,IQ_1b727779854ab3,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000082,IQ_01a21f98815364,VE_4fba8ad2115c09,2026-07-01,
ASSIGN-000083,IQ_87b762d0f01c95,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000084,IQ_db5e4b31c72a78,VE_b2208522e148c6,2026-07-01,
ASSIGN-000085,IQ_2ed3fcb44618c9,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000086,IQ_73f40fd1707597,VE_4fba8ad2115c09,2026-07-01,
ASSIGN-000087,IQ_92918c3b2f4fdb,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000088,IQ_2472ae6f311b48,VE_b2208522e148c6,2026-07-01,
ASSIGN-000089,IQ_fa30d3fbfe0eaa,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000090,IQ_72437542771259,VE_4fba8ad2115c09,2026-07-01,
ASSIGN-000091,IQ_9618214b0f52fe,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000092,IQ_da1889c369f3aa,VE_b2208522e148c6,2026-07-01,
ASSIGN-000093,IQ_8574a122b9ffcf,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000094,IQ_9793f962088daa,VE_4fba8ad2115c09,2026-07-01,
ASSIGN-000095,IQ_af36945ece0ade,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000096,IQ_0761c9286a2f08,VE_b2208522e148c6,2026-07-01,
ASSIGN-000097,IQ_319a00f1c5d469,VE_106615cdd9ff03,2026-07-01,
ASSIGN-000099,IQ_2d3b19f7ba0a85,VE_67198edffeb7a6,2026-07-01,
ASSIGN-000100,IQ_b261065f5903a5,VE_b2208522e148c6,2026-07-01,
ASSIGN-REALIGN,IQ_fdbb3d15d0fb0f,VE_4fba8ad2115c09,2026-09-01,
ASSIGN-FUTURE,IQ_0ba748be4238c5,VE_67198edffeb7a6,2026-10-01,
