activity_key,customer_key,primary_product_code,occurred_at,channel,approval,duration_minutes,source_version,modified_at,operation
VE_98a0ce3eaf2753,VE_76e29082fd71b0,IQ_cba8d4f6c70cb8,2026-09-12T12:00:00Z,EMAIL,APPROVED,12,1,2026-09-12T12:00:00Z,UPSERT
VE_ca808ffc199f28,VE_8a799019f67762,IQ_d19e228b25b7ab,2026-08-09T12:00:00Z,EMAIL,APPROVED,13,1,2026-08-09T12:00:00Z,UPSERT
VE_9e2a687d484ff3,VE_02c937d122e8f8,IQ_48c377d7d5a68d,2026-07-24T12:00:00Z,EMAIL,APPROVED,14,1,2026-07-24T12:00:00Z,UPSERT
VE_d7f11af89369f5,VE_b5e0f3b2aca8cb,IQ_3724bf97128d1c,2026-07-24T12:00:00Z,EMAIL,APPROVED,15,1,2026-07-24T12:00:00Z,UPSERT
VE_8f8094dd0bb90e,VE_10769940889d1a,IQ_cba8d4f6c70cb8,2026-08-26T12:00:00Z,EMAIL,APPROVED,16,1,2026-08-26T12:00:00Z,UPSERT
VE_49428c7080efc0,VE_c0397d6d23a901,IQ_d19e228b25b7ab,2026-07-05T12:00:00Z,EMAIL,APPROVED,17,1,2026-07-05T12:00:00Z,UPSERT
VE_95d9ef6cfd488c,VE_77bf632d7cdccc,IQ_48c377d7d5a68d,2026-07-26T12:00:00Z,EMAIL,APPROVED,18,1,2026-07-26T12:00:00Z,UPSERT
VE_86067e2df8e379,VE_8a2df1df2a5c0c,IQ_3724bf97128d1c,2026-07-16T12:00:00Z,EMAIL,APPROVED,19,1,2026-07-16T12:00:00Z,UPSERT
VE_8b6fac4d6a0c47,VE_9eeb973972c3b9,IQ_cba8d4f6c70cb8,2026-07-11T12:00:00Z,EMAIL,APPROVED,20,1,2026-07-11T12:00:00Z,UPSERT
VE_1b37f3abcbc6ed,VE_34476d8d7d9b69,IQ_d19e228b25b7ab,2026-09-11T12:00:00Z,EMAIL,APPROVED,21,1,2026-09-11T12:00:00Z,UPSERT
VE_527aff79f527f8,VE_e6f5e85ab6eeae,IQ_48c377d7d5a68d,2026-08-16T12:00:00Z,EMAIL,APPROVED,22,1,2026-08-16T12:00:00Z,UPSERT
VE_3b20bf9596f759,VE_bff53fde028942,IQ_3724bf97128d1c,2026-09-07T12:00:00Z,EMAIL,APPROVED,23,1,2026-09-07T12:00:00Z,UPSERT
VE_b10fad2abd1bb9,VE_2c8ef0f12d85e2,IQ_cba8d4f6c70cb8,2026-09-07T12:00:00Z,EMAIL,APPROVED,24,1,2026-09-07T12:00:00Z,UPSERT
VE_cdb5ff687703bc,VE_67e934743326d9,IQ_d19e228b25b7ab,2026-07-11T12:00:00Z,EMAIL,APPROVED,25,1,2026-07-11T12:00:00Z,UPSERT
VE_a8201c132ff47a,VE_2b86f2111bc689,IQ_48c377d7d5a68d,2026-08-17T12:00:00Z,EMAIL,APPROVED,26,1,2026-08-17T12:00:00Z,UPSERT
VE_5a949e13e863f2,VE_6e0cbb4d70fc87,IQ_3724bf97128d1c,2026-07-09T12:00:00Z,EMAIL,APPROVED,27,1,2026-07-09T12:00:00Z,UPSERT
VE_2076bebb4be080,VE_970d01ee919b4a,IQ_cba8d4f6c70cb8,2026-07-24T12:00:00Z,EMAIL,APPROVED,28,1,2026-07-24T12:00:00Z,UPSERT
VE_5e3c121ed0ba53,VE_4592643dbd8d8e,IQ_d19e228b25b7ab,2026-08-22T12:00:00Z,EMAIL,DRAFT,29,1,2026-08-22T12:00:00Z,UPSERT
VE_b7dda451656b47,VE_ffe22c53cf3088,IQ_48c377d7d5a68d,2026-07-20T12:00:00Z,EMAIL,APPROVED,30,1,2026-07-20T12:00:00Z,UPSERT
VE_c033b18fa89d76,VE_e3d3c193ba4590,IQ_3724bf97128d1c,2026-08-08T12:00:00Z,EMAIL,APPROVED,10,1,2026-08-08T12:00:00Z,UPSERT
VE_f4fe312e1078a9,VE_0924c044ee48f9,IQ_cba8d4f6c70cb8,2026-09-10T12:00:00Z,EMAIL,APPROVED,11,1,2026-09-10T12:00:00Z,UPSERT
VE_2d2065d7aa480f,VE_7a7487b8529dca,IQ_d19e228b25b7ab,2026-08-21T12:00:00Z,EMAIL,APPROVED,12,1,2026-08-21T12:00:00Z,UPSERT
VE_5d30c122edc13a,VE_d5e260cf81584a,IQ_48c377d7d5a68d,2026-09-02T12:00:00Z,EMAIL,APPROVED,13,1,2026-09-02T12:00:00Z,UPSERT
VE_7319b12b49ff42,VE_c9918d84011f86,IQ_3724bf97128d1c,2026-07-26T12:00:00Z,EMAIL,APPROVED,14,1,2026-07-26T12:00:00Z,UPSERT
VE_4300724eae087c,VE_851d9c34d1361a,IQ_cba8d4f6c70cb8,2026-07-25T12:00:00Z,EMAIL,APPROVED,15,1,2026-07-25T12:00:00Z,UPSERT
VE_3a8cdf1e3f74f7,VE_a8eebaa1e5294e,IQ_d19e228b25b7ab,2026-07-11T12:00:00Z,EMAIL,APPROVED,16,1,2026-07-11T12:00:00Z,UPSERT
VE_cf353ae67270d5,VE_67250719bd220e,IQ_48c377d7d5a68d,2026-09-09T12:00:00Z,EMAIL,APPROVED,17,1,2026-09-09T12:00:00Z,UPSERT
VE_91d0b26684ed06,VE_be35fc6f8a0e03,IQ_3724bf97128d1c,2026-08-13T12:00:00Z,EMAIL,APPROVED,18,1,2026-08-13T12:00:00Z,UPSERT
VE_10fc78f514f11d,VE_eb656f72f03988,IQ_cba8d4f6c70cb8,2026-07-13T12:00:00Z,EMAIL,APPROVED,19,1,2026-07-13T12:00:00Z,UPSERT
VE_32a83d66833151,VE_378b8b1da76d13,IQ_d19e228b25b7ab,2026-07-26T12:00:00Z,EMAIL,APPROVED,20,1,2026-07-26T12:00:00Z,UPSERT
VE_9504e6be822936,VE_f000d3b024cc01,IQ_48c377d7d5a68d,2026-08-09T12:00:00Z,EMAIL,APPROVED,21,1,2026-08-09T12:00:00Z,UPSERT
VE_4b7113a3fac518,VE_ad0950197ad21e,IQ_3724bf97128d1c,2026-09-05T12:00:00Z,EMAIL,APPROVED,22,1,2026-09-05T12:00:00Z,UPSERT
VE_151f19cb0fb5aa,VE_c178b85a281f0d,IQ_cba8d4f6c70cb8,2026-08-09T12:00:00Z,EMAIL,APPROVED,23,1,2026-08-09T12:00:00Z,UPSERT
VE_fa975405608c49,VE_96cd96ded97c3d,IQ_d19e228b25b7ab,2026-07-29T12:00:00Z,EMAIL,APPROVED,24,1,2026-07-29T12:00:00Z,UPSERT
VE_d4ba1a046ad7e0,VE_2f01a982ed13a9,IQ_48c377d7d5a68d,2026-07-25T12:00:00Z,EMAIL,APPROVED,25,1,2026-07-25T12:00:00Z,UPSERT
VE_8bb0839e02d3fb,VE_80b775a4657990,IQ_3724bf97128d1c,2026-08-06T12:00:00Z,EMAIL,APPROVED,26,1,2026-08-06T12:00:00Z,UPSERT
VE_d9e9685b584a34,VE_c6b7040fb7a98c,IQ_cba8d4f6c70cb8,2026-08-18T12:00:00Z,EMAIL,APPROVED,27,1,2026-08-18T12:00:00Z,UPSERT
VE_bfe9d52333ab58,VE_31a3a0f8a81439,IQ_d19e228b25b7ab,2026-08-20T12:00:00Z,EMAIL,APPROVED,28,1,2026-08-20T12:00:00Z,UPSERT
VE_d814a437362047,VE_57484a45fffec8,IQ_48c377d7d5a68d,2026-08-28T12:00:00Z,EMAIL,APPROVED,29,1,2026-08-28T12:00:00Z,UPSERT
VE_eb3a4d465487ac,VE_240013df99b8c8,IQ_3724bf97128d1c,2026-08-03T12:00:00Z,EMAIL,APPROVED,30,1,2026-08-03T12:00:00Z,UPSERT
VE_e92e5133cfb6c4,VE_ae60d094f8549e,IQ_cba8d4f6c70cb8,2026-07-11T12:00:00Z,EMAIL,APPROVED,10,1,2026-07-11T12:00:00Z,UPSERT
VE_f02f56cd73c909,VE_0b1430679680d7,IQ_d19e228b25b7ab,2026-08-18T12:00:00Z,EMAIL,APPROVED,11,1,2026-08-18T12:00:00Z,UPSERT
VE_861c833610cec4,VE_7d0ce0b3e5ffbf,IQ_48c377d7d5a68d,2026-09-09T12:00:00Z,EMAIL,APPROVED,12,1,2026-09-09T12:00:00Z,UPSERT
VE_00653c757dde62,VE_2f4f56cf6441c8,IQ_3724bf97128d1c,2026-07-03T12:00:00Z,EMAIL,APPROVED,13,1,2026-07-03T12:00:00Z,UPSERT
VE_49be3e85715ccc,VE_e672f7d34880c7,IQ_cba8d4f6c70cb8,2026-08-26T12:00:00Z,EMAIL,APPROVED,14,1,2026-08-26T12:00:00Z,UPSERT
VE_a3784f7a3fb894,VE_caa1826d9da127,IQ_d19e228b25b7ab,2026-07-02T12:00:00Z,EMAIL,APPROVED,15,1,2026-07-02T12:00:00Z,UPSERT
VE_e6370c5bed245c,VE_17144e8483d330,IQ_48c377d7d5a68d,2026-07-03T12:00:00Z,EMAIL,APPROVED,16,1,2026-07-03T12:00:00Z,UPSERT
VE_8077c2b382103b,VE_a56c4575d84ccb,IQ_3724bf97128d1c,2026-09-08T12:00:00Z,EMAIL,APPROVED,17,1,2026-09-08T12:00:00Z,UPSERT
VE_dcd6f20afdad54,VE_41d0d49d391d42,IQ_cba8d4f6c70cb8,2026-08-22T12:00:00Z,EMAIL,APPROVED,18,1,2026-08-22T12:00:00Z,UPSERT
VE_2561a752704213,VE_e208892fd1b42f,IQ_d19e228b25b7ab,2026-08-13T12:00:00Z,EMAIL,APPROVED,19,1,2026-08-13T12:00:00Z,UPSERT
VE_aa5fb79055863d,VE_7fc9722830644c,IQ_48c377d7d5a68d,2026-08-10T12:00:00Z,EMAIL,APPROVED,20,1,2026-08-10T12:00:00Z,UPSERT
VE_f54e2546056b86,VE_c44f7fbdeac984,IQ_3724bf97128d1c,2026-07-06T12:00:00Z,EMAIL,APPROVED,21,1,2026-07-06T12:00:00Z,UPSERT
VE_28bb761c113899,VE_75d738699b6ef0,IQ_cba8d4f6c70cb8,2026-07-09T12:00:00Z,EMAIL,APPROVED,22,1,2026-07-09T12:00:00Z,UPSERT
VE_3a2c551aab20a8,VE_c00926e0b327f9,IQ_d19e228b25b7ab,2026-08-17T12:00:00Z,EMAIL,APPROVED,23,1,2026-08-17T12:00:00Z,UPSERT
VE_1e17f305f6768f,VE_81ca31a1e88833,IQ_48c377d7d5a68d,2026-08-18T12:00:00Z,EMAIL,APPROVED,24,1,2026-08-18T12:00:00Z,UPSERT
VE_d7b7259c4f6284,VE_779a079e577f08,IQ_3724bf97128d1c,2026-07-31T12:00:00Z,EMAIL,APPROVED,25,1,2026-07-31T12:00:00Z,UPSERT
VE_b9219866a4c27c,VE_db3fe124ab6f17,IQ_cba8d4f6c70cb8,2026-07-30T12:00:00Z,EMAIL,APPROVED,26,1,2026-07-30T12:00:00Z,UPSERT
VE_4fcd5bac3a770b,VE_0387ad79b4e4b3,IQ_d19e228b25b7ab,2026-07-07T12:00:00Z,EMAIL,APPROVED,27,1,2026-07-07T12:00:00Z,UPSERT
VE_e39336867d35e5,VE_23a8f3faa039bf,IQ_48c377d7d5a68d,2026-08-18T12:00:00Z,EMAIL,DRAFT,28,1,2026-08-18T12:00:00Z,UPSERT
VE_5bc86e59679c6f,VE_f81c850be875e1,IQ_3724bf97128d1c,2026-07-24T12:00:00Z,EMAIL,APPROVED,29,1,2026-07-24T12:00:00Z,UPSERT
VE_7a207cd634892f,VE_84640e91065f71,IQ_cba8d4f6c70cb8,2026-08-19T12:00:00Z,EMAIL,APPROVED,30,1,2026-08-19T12:00:00Z,UPSERT
VE_e738598a903f0f,VE_1279a81fcfdee5,IQ_d19e228b25b7ab,2026-07-31T12:00:00Z,EMAIL,APPROVED,10,1,2026-07-31T12:00:00Z,UPSERT
VE_7f2bcde72d8604,VE_675ee3e7ae6a11,IQ_48c377d7d5a68d,2026-09-08T12:00:00Z,EMAIL,APPROVED,11,1,2026-09-08T12:00:00Z,UPSERT
VE_64a62134977130,VE_f305264f4a05dc,IQ_3724bf97128d1c,2026-07-20T12:00:00Z,EMAIL,APPROVED,12,1,2026-07-20T12:00:00Z,UPSERT
VE_792e1e7befc978,VE_9dee3b61be2d62,IQ_cba8d4f6c70cb8,2026-08-03T12:00:00Z,EMAIL,APPROVED,13,1,2026-08-03T12:00:00Z,UPSERT
VE_b9f98fc891aa27,VE_81f6b66699db76,IQ_d19e228b25b7ab,2026-07-04T12:00:00Z,EMAIL,APPROVED,14,1,2026-07-04T12:00:00Z,UPSERT
VE_15152ac247e142,VE_2a19d43e52f37b,IQ_48c377d7d5a68d,2026-08-10T12:00:00Z,EMAIL,APPROVED,15,1,2026-08-10T12:00:00Z,UPSERT
VE_dc03c6bfc87c5f,VE_97754d018e4907,IQ_3724bf97128d1c,2026-09-08T12:00:00Z,EMAIL,APPROVED,16,1,2026-09-08T12:00:00Z,UPSERT
VE_ddc572eb038343,VE_b2afa7698fab12,IQ_cba8d4f6c70cb8,2026-08-19T12:00:00Z,EMAIL,APPROVED,17,1,2026-08-19T12:00:00Z,UPSERT
VE_421f020ddc438c,VE_fe2ebb14688de2,IQ_d19e228b25b7ab,2026-07-16T12:00:00Z,EMAIL,APPROVED,18,1,2026-07-16T12:00:00Z,UPSERT
VE_b137f70fdbd621,VE_15bc1b45477893,IQ_48c377d7d5a68d,2026-07-21T12:00:00Z,EMAIL,APPROVED,19,1,2026-07-21T12:00:00Z,UPSERT
VE_124e7688dac2d6,VE_ad38ba94dcb017,IQ_3724bf97128d1c,2026-07-28T12:00:00Z,EMAIL,APPROVED,20,1,2026-07-28T12:00:00Z,UPSERT
VE_d5ddc5876e4d86,VE_dedb7fcf67b345,IQ_cba8d4f6c70cb8,2026-08-08T12:00:00Z,EMAIL,APPROVED,21,1,2026-08-08T12:00:00Z,UPSERT
VE_fcbd90295650b7,VE_4e50d8271682f7,IQ_d19e228b25b7ab,2026-09-05T12:00:00Z,EMAIL,APPROVED,22,1,2026-09-05T12:00:00Z,UPSERT
VE_7fa2da4ac05c05,VE_74d00caa618852,IQ_48c377d7d5a68d,2026-07-26T12:00:00Z,EMAIL,APPROVED,23,1,2026-07-26T12:00:00Z,UPSERT
VE_660db11765d649,VE_2609792d97c823,IQ_3724bf97128d1c,2026-08-08T12:00:00Z,EMAIL,APPROVED,24,1,2026-08-08T12:00:00Z,UPSERT
VE_ebf3bcbe56234a,VE_4c37d97b8c53e7,IQ_cba8d4f6c70cb8,2026-07-23T12:00:00Z,EMAIL,APPROVED,25,1,2026-07-23T12:00:00Z,UPSERT
VE_2e35de41bca055,VE_d3c9771a994b42,IQ_d19e228b25b7ab,2026-07-23T12:00:00Z,EMAIL,APPROVED,26,1,2026-07-23T12:00:00Z,UPSERT
VE_ee531b8f2e61b3,VE_e80eca73e25fe7,IQ_48c377d7d5a68d,2026-09-02T12:00:00Z,EMAIL,APPROVED,27,1,2026-09-02T12:00:00Z,UPSERT
VE_e59e20701918f6,VE_e2b5497492f11c,IQ_3724bf97128d1c,2026-07-09T12:00:00Z,EMAIL,APPROVED,28,1,2026-07-09T12:00:00Z,UPSERT
VE_087e20db7052b4,VE_eefc41fb5aab65,IQ_cba8d4f6c70cb8,2026-07-31T12:00:00Z,EMAIL,APPROVED,29,1,2026-07-31T12:00:00Z,UPSERT
VE_ab376a2e5f5737,VE_3f5080f894551b,IQ_d19e228b25b7ab,2026-07-15T12:00:00Z,EMAIL,APPROVED,30,1,2026-07-15T12:00:00Z,UPSERT
VE_035026a4784f4c,VE_d594f985023f04,IQ_48c377d7d5a68d,2026-09-12T12:00:00Z,EMAIL,APPROVED,10,1,2026-09-12T12:00:00Z,UPSERT
