activity_key,source_version,product_code,detail_rank
VE_5d30c122edc13a,1,IQ_48c377d7d5a68d,1
VE_7319b12b49ff42,1,IQ_3724bf97128d1c,1
VE_4300724eae087c,1,IQ_cba8d4f6c70cb8,1
VE_3a8cdf1e3f74f7,1,IQ_d19e228b25b7ab,1
VE_cf353ae67270d5,1,IQ_48c377d7d5a68d,1
VE_91d0b26684ed06,1,IQ_3724bf97128d1c,1
VE_10fc78f514f11d,1,IQ_cba8d4f6c70cb8,1
VE_32a83d66833151,1,IQ_d19e228b25b7ab,1
VE_9504e6be822936,1,IQ_48c377d7d5a68d,1
VE_4b7113a3fac518,1,IQ_3724bf97128d1c,1
VE_151f19cb0fb5aa,1,IQ_cba8d4f6c70cb8,1
VE_fa975405608c49,1,IQ_d19e228b25b7ab,1
VE_d4ba1a046ad7e0,1,IQ_48c377d7d5a68d,1
VE_8bb0839e02d3fb,1,IQ_3724bf97128d1c,1
VE_d9e9685b584a34,1,IQ_cba8d4f6c70cb8,1
VE_bfe9d52333ab58,1,IQ_d19e228b25b7ab,1
VE_bfe9d52333ab58,1,IQ_48c377d7d5a68d,2
VE_d814a437362047,1,IQ_48c377d7d5a68d,1
VE_eb3a4d465487ac,1,IQ_3724bf97128d1c,1
VE_e92e5133cfb6c4,1,IQ_cba8d4f6c70cb8,1
VE_f02f56cd73c909,1,IQ_d19e228b25b7ab,1
VE_861c833610cec4,1,IQ_48c377d7d5a68d,1
VE_00653c757dde62,1,IQ_3724bf97128d1c,1
VE_49be3e85715ccc,1,IQ_cba8d4f6c70cb8,1
VE_a3784f7a3fb894,1,IQ_d19e228b25b7ab,1
VE_e6370c5bed245c,1,IQ_48c377d7d5a68d,1
VE_8077c2b382103b,1,IQ_3724bf97128d1c,1
VE_dcd6f20afdad54,1,IQ_cba8d4f6c70cb8,1
VE_2561a752704213,1,IQ_d19e228b25b7ab,1
VE_aa5fb79055863d,1,IQ_48c377d7d5a68d,1
VE_f54e2546056b86,1,IQ_3724bf97128d1c,1
VE_28bb761c113899,1,IQ_cba8d4f6c70cb8,1
VE_3a2c551aab20a8,1,IQ_d19e228b25b7ab,1
VE_1e17f305f6768f,1,IQ_48c377d7d5a68d,1
VE_1e17f305f6768f,1,IQ_3724bf97128d1c,2
VE_d7b7259c4f6284,1,IQ_3724bf97128d1c,1
VE_b9219866a4c27c,1,IQ_cba8d4f6c70cb8,1
VE_4fcd5bac3a770b,1,IQ_d19e228b25b7ab,1
VE_e39336867d35e5,1,IQ_48c377d7d5a68d,1
VE_5bc86e59679c6f,1,IQ_3724bf97128d1c,1
VE_7a207cd634892f,1,IQ_cba8d4f6c70cb8,1
VE_e738598a903f0f,1,IQ_d19e228b25b7ab,1
VE_7f2bcde72d8604,1,IQ_48c377d7d5a68d,1
VE_64a62134977130,1,IQ_3724bf97128d1c,1
VE_792e1e7befc978,1,IQ_cba8d4f6c70cb8,1
VE_b9f98fc891aa27,1,IQ_d19e228b25b7ab,1
VE_15152ac247e142,1,IQ_48c377d7d5a68d,1
VE_dc03c6bfc87c5f,1,IQ_3724bf97128d1c,1
VE_ddc572eb038343,1,IQ_cba8d4f6c70cb8,1
VE_421f020ddc438c,1,IQ_d19e228b25b7ab,1
VE_b137f70fdbd621,1,IQ_48c377d7d5a68d,1
VE_124e7688dac2d6,1,IQ_3724bf97128d1c,1
VE_124e7688dac2d6,1,IQ_cba8d4f6c70cb8,2
VE_d5ddc5876e4d86,1,IQ_cba8d4f6c70cb8,1
VE_fcbd90295650b7,1,IQ_d19e228b25b7ab,1
VE_7fa2da4ac05c05,1,IQ_48c377d7d5a68d,1
VE_660db11765d649,1,IQ_3724bf97128d1c,1
VE_ebf3bcbe56234a,1,IQ_cba8d4f6c70cb8,1
VE_2e35de41bca055,1,IQ_d19e228b25b7ab,1
VE_ee531b8f2e61b3,1,IQ_48c377d7d5a68d,1
VE_e59e20701918f6,1,IQ_3724bf97128d1c,1
VE_087e20db7052b4,1,IQ_cba8d4f6c70cb8,1
VE_ab376a2e5f5737,1,IQ_d19e228b25b7ab,1
VE_035026a4784f4c,1,IQ_48c377d7d5a68d,1
VE_884cdf2a477075,1,IQ_3724bf97128d1c,1
VE_5e9988972ada3e,1,IQ_cba8d4f6c70cb8,1
VE_b08c3cc8c3d9da,1,IQ_d19e228b25b7ab,1
VE_084663eac12199,1,IQ_48c377d7d5a68d,1
VE_b0a40f77b13951,1,IQ_3724bf97128d1c,1
VE_5e35d81c302e63,1,IQ_cba8d4f6c70cb8,1
VE_5e35d81c302e63,1,IQ_d19e228b25b7ab,2
VE_f6ada8cb1c1d94,1,IQ_d19e228b25b7ab,1
VE_1fe73d6270afda,1,IQ_48c377d7d5a68d,1
VE_4560d24c498509,1,IQ_3724bf97128d1c,1
VE_3c6709d5070880,1,IQ_cba8d4f6c70cb8,1
VE_6265f0fcf34896,1,IQ_d19e228b25b7ab,1
VE_b2e6533058bd48,1,IQ_48c377d7d5a68d,1
VE_443901345ce037,1,IQ_3724bf97128d1c,1
VE_458139e98580da,1,IQ_cba8d4f6c70cb8,1
VE_914a00c8cd2c75,1,IQ_d19e228b25b7ab,1
VE_85d8ec29b00f06,1,IQ_48c377d7d5a68d,1
VE_86ce41e6935881,1,IQ_3724bf97128d1c,1
VE_ae811bb9094cb6,1,IQ_cba8d4f6c70cb8,1
VE_9522170d8e03aa,1,IQ_d19e228b25b7ab,1
VE_407dee4c664ba9,1,IQ_48c377d7d5a68d,1
VE_5be22fe9783b74,1,IQ_3724bf97128d1c,1
VE_01149db2c601b9,1,IQ_cba8d4f6c70cb8,1
VE_8c505caf343cc0,1,IQ_d19e228b25b7ab,1
VE_8c505caf343cc0,1,IQ_48c377d7d5a68d,2
VE_8997061c13f1e2,1,IQ_48c377d7d5a68d,1
VE_d323fb722e80d2,1,IQ_3724bf97128d1c,1
VE_726648010f9238,1,IQ_cba8d4f6c70cb8,1
VE_e53f7561610039,1,IQ_d19e228b25b7ab,1
VE_ee82b786c6625b,1,IQ_48c377d7d5a68d,1
VE_084c5e5b70b307,1,IQ_3724bf97128d1c,1
VE_a1aea01cb3b798,1,IQ_cba8d4f6c70cb8,1
VE_98969f70f4bd8d,1,IQ_d19e228b25b7ab,1
VE_4cf04a4b04ed43,1,IQ_48c377d7d5a68d,1
VE_1ad38865439a3c,1,IQ_3724bf97128d1c,1
VE_9242195d13d913,1,IQ_cba8d4f6c70cb8,1
VE_4a29ed37e97dd5,1,IQ_d19e228b25b7ab,1
VE_cb40bb02a55fa1,1,IQ_48c377d7d5a68d,1
VE_f1cdb1d48c28f8,1,IQ_3724bf97128d1c,1
VE_bbc9375947187c,1,IQ_cba8d4f6c70cb8,1
VE_f5c08279bab495,1,IQ_d19e228b25b7ab,1
VE_567be1b4d59ac0,1,IQ_48c377d7d5a68d,1
VE_567be1b4d59ac0,1,IQ_3724bf97128d1c,2
VE_200b904b5fd0eb,1,IQ_3724bf97128d1c,1
VE_9517ea484f7412,1,IQ_cba8d4f6c70cb8,1
VE_a288347a677007,1,IQ_d19e228b25b7ab,1
VE_148b10942a5e01,1,IQ_48c377d7d5a68d,1
VE_e9f5085c8aebf4,1,IQ_3724bf97128d1c,1
VE_adac6704ad4fd1,1,IQ_cba8d4f6c70cb8,1
VE_f24f7f33893541,1,IQ_d19e228b25b7ab,1
VE_64b82ec8a6b859,1,IQ_48c377d7d5a68d,1
VE_ffb28a6e678e9b,1,IQ_3724bf97128d1c,1
VE_2f845c92825753,1,IQ_cba8d4f6c70cb8,1
VE_38fd989f9381bd,1,IQ_d19e228b25b7ab,1
VE_ebcbaae9aea6f1,1,IQ_48c377d7d5a68d,1
VE_5938b31b4738cc,1,IQ_3724bf97128d1c,1
VE_6cda6c5688dc7b,1,IQ_cba8d4f6c70cb8,1
VE_0514b9b0767a62,1,IQ_d19e228b25b7ab,1
VE_3246a939bfbf46,1,IQ_48c377d7d5a68d,1
VE_ac5732cbf4b2fc,1,IQ_3724bf97128d1c,1
VE_ac5732cbf4b2fc,1,IQ_cba8d4f6c70cb8,2
VE_1cb21387896cc3,1,IQ_cba8d4f6c70cb8,1
VE_99ab05a695833c,1,IQ_d19e228b25b7ab,1
VE_6ba6e195994303,1,IQ_48c377d7d5a68d,1
VE_497b49aba1c76b,1,IQ_3724bf97128d1c,1
VE_36928fd951ce55,1,IQ_cba8d4f6c70cb8,1
VE_0a1f915d8d800e,1,IQ_d19e228b25b7ab,1
VE_9eee8eb7332d64,1,IQ_48c377d7d5a68d,1
VE_e943fb4e8148a7,1,IQ_3724bf97128d1c,1
VE_803a0df0890967,1,IQ_cba8d4f6c70cb8,1
VE_351f537fa7c088,1,IQ_d19e228b25b7ab,1
VE_f41faceae98411,1,IQ_48c377d7d5a68d,1
VE_64d02826ddd6c2,1,IQ_3724bf97128d1c,1
VE_ef66370b28df07,1,IQ_cba8d4f6c70cb8,1
VE_cb02f879a02d6d,1,IQ_d19e228b25b7ab,1
VE_e4bd62a27fd085,1,IQ_48c377d7d5a68d,1
VE_75dc80fea12aa6,1,IQ_3724bf97128d1c,1
VE_c08d0b97668af4,1,IQ_cba8d4f6c70cb8,1
VE_c08d0b97668af4,1,IQ_d19e228b25b7ab,2
VE_f0aab6a03d5a49,1,IQ_d19e228b25b7ab,1
VE_16fbb472213a02,1,IQ_48c377d7d5a68d,1
VE_b8aea05bd78631,1,IQ_3724bf97128d1c,1
VE_2010b409aed63a,1,IQ_cba8d4f6c70cb8,1
VE_fac72ef6cd9ff2,1,IQ_d19e228b25b7ab,1
VE_3a8192acd9d24e,1,IQ_48c377d7d5a68d,1
VE_053bae7fb4f754,1,IQ_3724bf97128d1c,1
VE_1920f1556e1378,1,IQ_cba8d4f6c70cb8,1
VE_ed3fa4cb8585ef,1,IQ_d19e228b25b7ab,1
VE_2564555190e182,1,IQ_48c377d7d5a68d,1
VE_a5b1f776870e03,1,IQ_3724bf97128d1c,1
VE_eefe22814e70d4,1,IQ_cba8d4f6c70cb8,1
VE_7808004b4ce6ee,1,IQ_d19e228b25b7ab,1
VE_0452810732294c,1,IQ_48c377d7d5a68d,1
VE_ca4187d7fdc690,1,IQ_3724bf97128d1c,1
VE_21c2583eddfad5,1,IQ_cba8d4f6c70cb8,1
VE_69742649993d19,1,IQ_d19e228b25b7ab,1
VE_69742649993d19,1,IQ_48c377d7d5a68d,2
VE_6bc5da9edd0ee7,1,IQ_48c377d7d5a68d,1
VE_613059ac6a434e,1,IQ_3724bf97128d1c,1
VE_706c6478c41162,1,IQ_cba8d4f6c70cb8,1
VE_5a604746e032ff,1,IQ_d19e228b25b7ab,1
VE_655ab95394e34c,1,IQ_48c377d7d5a68d,1
VE_74845b1de9cce2,1,IQ_3724bf97128d1c,1
VE_e85a99f7ca1d42,1,IQ_cba8d4f6c70cb8,1
VE_008bb699a56912,1,IQ_d19e228b25b7ab,1
VE_8a7a1ba1651a89,1,IQ_48c377d7d5a68d,1
VE_f7feab29585720,1,IQ_3724bf97128d1c,1
VE_8a991cb7d9a5ee,1,IQ_cba8d4f6c70cb8,1
VE_3e1862d8ac02b9,1,IQ_d19e228b25b7ab,1
VE_19e7185bb1f7ac,1,IQ_48c377d7d5a68d,1
VE_fc4775c880b67c,1,IQ_3724bf97128d1c,1
VE_8dbad135c18730,1,IQ_cba8d4f6c70cb8,1
VE_eab121183e8f59,1,IQ_d19e228b25b7ab,1
VE_a5ffc2127e3270,1,IQ_48c377d7d5a68d,1
VE_a5ffc2127e3270,1,IQ_3724bf97128d1c,2
VE_825717b57dd3b1,1,IQ_3724bf97128d1c,1
VE_f7c90075b266be,1,IQ_cba8d4f6c70cb8,1
VE_17e6e30b37983f,1,IQ_d19e228b25b7ab,1
VE_ef570d8197c75d,1,IQ_48c377d7d5a68d,1
VE_717c334ba52f1f,1,IQ_3724bf97128d1c,1
VE_4a0909a3fbb55d,1,IQ_cba8d4f6c70cb8,1
VE_622c50daa358b0,1,IQ_d19e228b25b7ab,1
VE_f254cd04c39b15,1,IQ_48c377d7d5a68d,1
VE_311583cc34a2f9,1,IQ_3724bf97128d1c,1
VE_44b2c0f6b66014,1,IQ_cba8d4f6c70cb8,1
VE_f3237f6827e6cc,1,IQ_d19e228b25b7ab,1
VE_1d625722dad4ca,1,IQ_48c377d7d5a68d,1
VE_770623b434b502,1,IQ_3724bf97128d1c,1
VE_1af7f80cf5a7f4,1,IQ_cba8d4f6c70cb8,1
VE_a69bf98d2da88a,1,IQ_d19e228b25b7ab,1
VE_9fc07f4c8315cb,1,IQ_48c377d7d5a68d,1
VE_231f4f8b19b8e3,1,IQ_3724bf97128d1c,1
VE_231f4f8b19b8e3,1,IQ_cba8d4f6c70cb8,2
VE_f53e79cac847ec,1,IQ_cba8d4f6c70cb8,1
VE_4cdd436d6bd51c,1,IQ_d19e228b25b7ab,1
VE_bba3f428e4da10,1,IQ_48c377d7d5a68d,1
VE_e735bc491dd302,1,IQ_3724bf97128d1c,1
VE_c7794807a1f793,1,IQ_cba8d4f6c70cb8,1
VE_aaac45dbc3c6c6,1,IQ_d19e228b25b7ab,1
VE_0af70f36726f27,1,IQ_48c377d7d5a68d,1
VE_92d35912053b0b,1,IQ_3724bf97128d1c,1
VE_98f2ae9ecbaf81,1,IQ_cba8d4f6c70cb8,1
VE_36f19c3e90c0f3,1,IQ_d19e228b25b7ab,1
VE_e0a0037ab796b3,1,IQ_48c377d7d5a68d,1
VE_aa53846fe55964,1,IQ_3724bf97128d1c,1
VE_13242dbf9fa855,1,IQ_cba8d4f6c70cb8,1
VE_7f48ca028e3ece,1,IQ_d19e228b25b7ab,1
VE_56d75e0d7112b2,1,IQ_48c377d7d5a68d,1
VE_cca6c5fecccd5b,1,IQ_3724bf97128d1c,1
VE_b9a1f2a413480b,1,IQ_cba8d4f6c70cb8,1
VE_b9a1f2a413480b,1,IQ_d19e228b25b7ab,2
VE_f4bdf210d31946,1,IQ_d19e228b25b7ab,1
VE_cae3670af6de78,1,IQ_48c377d7d5a68d,1
VE_a1b61f0aef8918,1,IQ_3724bf97128d1c,1
VE_e6f24dbbecc1c3,1,IQ_cba8d4f6c70cb8,1
VE_de17f928ae2c1d,1,IQ_d19e228b25b7ab,1
VE_a46503cb15ae4d,1,IQ_48c377d7d5a68d,1
VE_9087c516a19fe2,1,IQ_3724bf97128d1c,1
VE_a338cf5e3bb904,1,IQ_cba8d4f6c70cb8,1
VE_62f6c06961c8a0,1,IQ_d19e228b25b7ab,1
VE_36299ec6527f45,1,SYN_UNKNOWN_PRODUCT,1
VE_67e26dfe6c51fe,1,SYN_UNKNOWN_PRODUCT,1
