preference_key,contact_key,channel,purpose,status,effective_at,sequence_no
CONSENT-000030,SA_a1938091da94bb,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000031,SA_aa3f50b6a3f7ce,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000032,SA_34ac4de7343409,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000033,SA_d046771707ed80,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000034,SA_bf2c5647116103,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000035,SA_9cb1d3a6a92422,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000036,SA_9c9ad8ab181ce2,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000037,SA_53b6231b66b606,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000038,SA_17ed83153a4cbb,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000039,SA_10aaee76be65b3,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000040,SA_665d0ea6f39e78,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000041,SA_a5e2c9be211868,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000042,SA_9bcefb2e572e99,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000043,SA_5de98e0c9cb608,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000044,SA_5d91b170329cd7,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000045,SA_c0e5b1cfc936be,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000046,SA_9ea8efa9ff085c,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000047,SA_1f52de40b45edc,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000048,SA_da18e9ae487349,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000049,SA_fc75b7e9258795,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000050,SA_ae4540a06f6a0d,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000051,SA_45bcdb916a41dd,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000052,SA_51fa007246996d,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000053,SA_93a35557622442,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000054,SA_e9363d380e20dd,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000055,SA_92416d05cd0fb6,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000056,SA_70b6d5146f58da,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000057,SA_1aa7ea070cfa26,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000058,SA_9cd1470eea060f,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000059,SA_a3a74ed72134bd,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000060,SA_37cfac97451096,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000061,SA_144175cbdfc8af,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000062,SA_995e1e28b39582,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000063,SA_319cb5d9db1558,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000064,SA_eb737494117d03,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000065,SA_71223412eae6b8,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000066,SA_19ac7d572e1b80,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000067,SA_cb012f031f3f89,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000068,SA_69b7b6a260590c,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000069,SA_a30a132566642a,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000070,SA_48c8bdd798d796,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000071,SA_3ccf51761c3160,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000072,SA_b993a1c3cd5c66,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000073,SA_c44bf1b7e3c3ae,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000074,SA_8dca3d40b22c53,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000075,SA_72a23e46f9b595,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000076,SA_93c3b0024ca108,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000077,SA_8eab0c28cc364a,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000078,SA_6e810cfae638ef,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000079,SA_e8629aee60697b,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000080,SA_22f58d1ec27455,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000081,SA_a1900fc10cae88,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000082,SA_075cd0d97b25ee,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000083,SA_3193ee7f51b935,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000084,SA_08d9ab569b63e6,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000085,SA_8e29f08577408b,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000086,SA_63c4494b784171,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000087,SA_18063b961c6449,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000088,SA_27ac53091c486e,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000089,SA_107039e361d671,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000090,SA_0e3c9995e35c1b,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000091,SA_3ad0bf3ee746f8,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000092,SA_c579aa41bc19ff,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000093,SA_18eb501b8e7abd,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000094,SA_4c8de81c510b2e,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000095,SA_086925cbcd971d,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000096,SA_7cabf889d574c4,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000097,SA_a812f49b9e7d8e,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000098,SA_c05ddab9645ada,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000099,SA_ef3545e8d38aca,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
CONSENT-000100,SA_73b20b79b78f6d,EMAIL,COMMERCIAL,GRANTED,2026-07-01T00:00:00Z,1
