campaign_key,customer_key,product_code,contacted,qualifying_interactions
SA_bf4e710b0809bb,IQ_05605b3c9aa55e,IQ_cba8d4f6c70cb8,true,2
SA_bf4e710b0809bb,IQ_068d08db4e01c0,IQ_cba8d4f6c70cb8,false,0
SA_bf4e710b0809bb,IQ_0ba748be4238c5,IQ_cba8d4f6c70cb8,false,0
SA_bf4e710b0809bb,IQ_0c1c46bc19d342,IQ_cba8d4f6c70cb8,false,0
SA_bf4e710b0809bb,IQ_138c14e03ba3ea,IQ_cba8d4f6c70cb8,false,0
SA_bf4e710b0809bb,IQ_2addb9b1683255,IQ_cba8d4f6c70cb8,false,0
SA_bf4e710b0809bb,IQ_33101f0c5b3c7f,IQ_cba8d4f6c70cb8,true,1
SA_bf4e710b0809bb,IQ_62144644af5434,IQ_cba8d4f6c70cb8,false,0
SA_bf4e710b0809bb,IQ_7201837835a5f2,IQ_cba8d4f6c70cb8,false,0
SA_bf4e710b0809bb,IQ_7e009d7f4fe2aa,IQ_cba8d4f6c70cb8,false,0
SA_bf4e710b0809bb,IQ_84cf83fad0fc3b,IQ_cba8d4f6c70cb8,true,1
SA_bf4e710b0809bb,IQ_90184cbb052110,IQ_cba8d4f6c70cb8,false,0
SA_bf4e710b0809bb,IQ_9645247222684b,IQ_cba8d4f6c70cb8,false,0
SA_bf4e710b0809bb,IQ_98b3077966380e,IQ_cba8d4f6c70cb8,false,0
SA_bf4e710b0809bb,IQ_a48ac6570531bf,IQ_cba8d4f6c70cb8,false,0
SA_bf4e710b0809bb,IQ_be89a3a9a5c2a1,IQ_cba8d4f6c70cb8,true,2
SA_bf4e710b0809bb,IQ_c17af42164280c,IQ_cba8d4f6c70cb8,false,0
SA_bf4e710b0809bb,IQ_c4d7ac77a3a565,IQ_cba8d4f6c70cb8,true,1
SA_bf4e710b0809bb,IQ_fdbb3d15d0fb0f,IQ_cba8d4f6c70cb8,true,2
