activity_key,customer_key,activity_date,consent_status
VE_2578f08c33db1e,IQ_ad1c6f1f62ce12,2026-09-04,GRANTED
VE_28bb761c113899,IQ_84cf83fad0fc3b,2026-07-09,GRANTED
VE_2c9e23bd7615a9,IQ_076d9a257d3fec,2026-09-11,GRANTED
VE_2d2065d7aa480f,IQ_73f40fd1707597,2026-08-21,GRANTED
VE_2e35de41bca055,IQ_f83c0c647f07c0,2026-07-23,GRANTED
VE_311583cc34a2f9,IQ_0f74fd147c74bd,2026-07-17,GRANTED
VE_3246a939bfbf46,IQ_98b3077966380e,2026-07-11,GRANTED
VE_32a83d66833151,IQ_9793f962088daa,2026-07-26,GRANTED
VE_3342637e9a3b6a,IQ_06a6ec1d2ef8be,2026-08-24,GRANTED
VE_34469e3d293212,IQ_25dc7ff2807b62,2026-07-24,GRANTED
VE_351f537fa7c088,IQ_068d08db4e01c0,2026-08-15,GRANTED
VE_36928fd951ce55,IQ_05605b3c9aa55e,2026-08-26,GRANTED
VE_36f19c3e90c0f3,IQ_01a21f98815364,2026-07-01,GRANTED
VE_3852f0c965d688,IQ_54eb2f31fd81c4,2026-08-23,GRANTED
VE_38c70e310163a3,IQ_7cd8b403393f76,2026-08-26,GRANTED
VE_38fd989f9381bd,IQ_2674a44d322f11,2026-08-08,GRANTED
VE_3934164344df4b,IQ_413c07c026c858,2026-07-06,GRANTED
VE_399a9c65f8d989,IQ_b9f0f246c1b0e5,2026-09-12,GRANTED
VE_3a2c551aab20a8,IQ_2addb9b1683255,2026-08-17,GRANTED
VE_3a8192acd9d24e,IQ_51aeb27d07be6b,2026-08-15,GRANTED
VE_3a8cdf1e3f74f7,IQ_72437542771259,2026-07-11,GRANTED
VE_3b20bf9596f759,IQ_ea35b752bd7dac,2026-09-07,GRANTED
VE_3c6709d5070880,IQ_21d1ec50b3e069,2026-07-25,GRANTED
VE_3d2ac4e3788074,IQ_0ba748be4238c5,2026-08-14,GRANTED
VE_3e1862d8ac02b9,IQ_2f9f098695e506,2026-07-22,GRANTED
VE_3e6e185d9666fa,IQ_b77348ba966bc5,2026-07-30,GRANTED
VE_3eb6f3272fa581,IQ_3dfe85e7cae767,2026-09-09,GRANTED
VE_40190d0b455a2c,IQ_98b3077966380e,2026-07-18,GRANTED
VE_407dee4c664ba9,IQ_2e15f14171efd2,2026-08-22,GRANTED
VE_421f020ddc438c,IQ_9b17ca25ee17c9,2026-07-16,GRANTED
VE_4290f3742277b8,IQ_1b3d6b1cddbd15,2026-07-29,GRANTED
VE_4300724eae087c,IQ_fa30d3fbfe0eaa,2026-07-25,GRANTED
VE_443901345ce037,IQ_54eb2f31fd81c4,2026-07-12,GRANTED
VE_44b2c0f6b66014,IQ_48d6b84c70a4f2,2026-07-10,GRANTED
VE_4560d24c498509,IQ_f99c4fc261de3c,2026-07-21,GRANTED
VE_458139e98580da,IQ_d29d3ced32b323,2026-07-14,GRANTED
VE_484041f3daa22e,IQ_0f74fd147c74bd,2026-09-07,GRANTED
VE_49428c7080efc0,IQ_27d47adc2955b8,2026-07-05,GRANTED
VE_497b49aba1c76b,IQ_0c1c46bc19d342,2026-07-26,GRANTED
VE_49be3e85715ccc,IQ_05605b3c9aa55e,2026-08-26,GRANTED
VE_4a0909a3fbb55d,IQ_d29d3ced32b323,2026-07-07,GRANTED
VE_4a29ed37e97dd5,IQ_01a21f98815364,2026-08-03,GRANTED
VE_4b7113a3fac518,IQ_0761c9286a2f08,2026-09-05,GRANTED
VE_4cdd436d6bd51c,IQ_a693ef2a2ce111,2026-07-18,GRANTED
VE_4cf04a4b04ed43,IQ_39d652b58996e7,2026-07-17,GRANTED
VE_4dc1bfcf9a8e23,IQ_2addb9b1683255,2026-07-05,GRANTED
VE_4fcd5bac3a770b,IQ_684faa338cd172,2026-07-07,GRANTED
VE_51ebdf0e1d4197,IQ_62144644af5434,2026-08-24,GRANTED
VE_527aff79f527f8,IQ_212e5067a55b64,2026-08-16,GRANTED
VE_567be1b4d59ac0,IQ_92918c3b2f4fdb,2026-07-16,GRANTED
VE_5a604746e032ff,IQ_f83c0c647f07c0,2026-07-29,GRANTED
VE_5a949e13e863f2,IQ_b742d85b1af394,2026-07-09,GRANTED
VE_5bc86e59679c6f,IQ_229d78a6df9a94,2026-07-24,GRANTED
VE_5be22fe9783b74,IQ_f559fad81801dc,2026-09-01,GRANTED
VE_5c740d97941c56,IQ_90184cbb052110,2026-08-19,GRANTED
VE_5cf7a416594cf7,IQ_7e009d7f4fe2aa,2026-08-05,GRANTED
VE_5d30c122edc13a,IQ_92918c3b2f4fdb,2026-09-02,GRANTED
VE_5e35d81c302e63,IQ_413c07c026c858,2026-08-14,GRANTED
VE_5e9988972ada3e,IQ_cce5e0ba716ecf,2026-07-31,GRANTED
VE_613059ac6a434e,IQ_c5eb39b18ca20b,2026-08-05,GRANTED
VE_622c50daa358b0,IQ_3dfe85e7cae767,2026-08-18,GRANTED
VE_6265f0fcf34896,IQ_b9f0f246c1b0e5,2026-07-05,GRANTED
VE_62f6c06961c8a0,IQ_2674a44d322f11,2026-09-10,GRANTED
VE_64a62134977130,IQ_93d35e630ae6a9,2026-07-20,GRANTED
VE_64b82ec8a6b859,IQ_af36945ece0ade,2026-08-11,GRANTED
VE_64d02826ddd6c2,IQ_90184cbb052110,2026-08-12,GRANTED
VE_655ab95394e34c,IQ_aa92849fd7cd30,2026-07-01,GRANTED
VE_660db11765d649,IQ_c5eb39b18ca20b,2026-08-08,GRANTED
VE_6698e9ca0552db,IQ_52fa506fffb2b4,2026-09-07,GRANTED
VE_687d712517430a,IQ_be89a3a9a5c2a1,2026-07-03,GRANTED
VE_69742649993d19,IQ_70849c1fe756b7,2026-07-25,GRANTED
VE_6ba6e195994303,IQ_7e009d7f4fe2aa,2026-07-12,GRANTED
VE_6bc5da9edd0ee7,IQ_715da7641aed2d,2026-09-07,GRANTED
VE_6cda6c5688dc7b,IQ_fdbb3d15d0fb0f,2026-08-24,GRANTED
VE_6e04f0e62695e6,IQ_7b0a140e80e73a,2026-07-07,GRANTED
VE_6f3b28369ca039,IQ_c17af42164280c,2026-07-12,GRANTED
VE_706c6478c41162,IQ_33b40f57a97926,2026-07-15,GRANTED
VE_717c334ba52f1f,IQ_54eb2f31fd81c4,2026-08-18,GRANTED
VE_726648010f9238,IQ_08def56e473c8b,2026-08-09,GRANTED
VE_7319b12b49ff42,IQ_2472ae6f311b48,2026-07-26,GRANTED
VE_74845b1de9cce2,IQ_06a6ec1d2ef8be,2026-07-12,GRANTED
VE_75dc80fea12aa6,IQ_b77348ba966bc5,2026-07-16,GRANTED
VE_770623b434b502,IQ_f559fad81801dc,2026-07-11,GRANTED
VE_7808004b4ce6ee,IQ_9b17ca25ee17c9,2026-09-08,GRANTED
VE_790646921937d5,IQ_51aeb27d07be6b,2026-07-17,GRANTED
VE_792e1e7befc978,IQ_7aeaa83a0a1c56,2026-08-03,GRANTED
VE_7a207cd634892f,IQ_52fa506fffb2b4,2026-08-19,GRANTED
VE_7f2bcde72d8604,IQ_51aeb27d07be6b,2026-09-08,GRANTED
VE_7f48ca028e3ece,IQ_73f40fd1707597,2026-08-29,GRANTED
VE_7fa2da4ac05c05,IQ_715da7641aed2d,2026-07-26,GRANTED
VE_803a0df0890967,IQ_be89a3a9a5c2a1,2026-08-26,GRANTED
VE_8077c2b382103b,IQ_a48ac6570531bf,2026-09-08,GRANTED
VE_825717b57dd3b1,IQ_f99c4fc261de3c,2026-08-18,GRANTED
VE_8333e280068dc8,IQ_138c14e03ba3ea,2026-09-01,GRANTED
VE_854ba74b377873,IQ_f54562e3c643b5,2026-07-13,GRANTED
VE_859e17b9f15ba8,IQ_93d35e630ae6a9,2026-08-11,GRANTED
VE_85d8ec29b00f06,IQ_7b0a140e80e73a,2026-09-13,GRANTED
VE_86067e2df8e379,IQ_0a303a7880e935,2026-07-16,GRANTED
VE_861c833610cec4,IQ_7e009d7f4fe2aa,2026-09-09,GRANTED
VE_8674d1c944145b,IQ_0c1c46bc19d342,2026-07-08,GRANTED
VE_884cdf2a477075,IQ_c555f3d5651536,2026-08-20,GRANTED
VE_8997061c13f1e2,IQ_d8bc48cc73427b,2026-07-11,GRANTED
VE_8a40eb4384d07d,IQ_fdbb3d15d0fb0f,2026-07-13,GRANTED
VE_8a7a1ba1651a89,IQ_1b3d6b1cddbd15,2026-07-26,GRANTED
VE_8a991cb7d9a5ee,IQ_cce5e0ba716ecf,2026-07-24,GRANTED
VE_8b6fac4d6a0c47,IQ_08def56e473c8b,2026-07-11,GRANTED
VE_8c505caf343cc0,IQ_27d47adc2955b8,2026-07-24,GRANTED
VE_8dbad135c18730,IQ_413c07c026c858,2026-08-26,GRANTED
VE_8de22cede4b52d,IQ_21d1ec50b3e069,2026-09-10,GRANTED
VE_8f8094dd0bb90e,IQ_587a5d52e1a4df,2026-08-26,GRANTED
VE_9087c516a19fe2,IQ_0761c9286a2f08,2026-09-06,GRANTED
VE_914a00c8cd2c75,IQ_3dfe85e7cae767,2026-07-10,GRANTED
VE_91d0b26684ed06,IQ_da1889c369f3aa,2026-08-13,GRANTED
VE_9242195d13d913,IQ_1b727779854ab3,2026-09-05,GRANTED
VE_92d35912053b0b,IQ_b742d85b1af394,2026-08-15,GRANTED
VE_94a11c6c1575e1,IQ_6648ea2780803e,2026-08-30,GRANTED
VE_9504e6be822936,IQ_af36945ece0ade,2026-08-09,GRANTED
VE_9517ea484f7412,IQ_fa30d3fbfe0eaa,2026-07-01,GRANTED
VE_9522170d8e03aa,IQ_6f1507ed9f081a,2026-07-02,GRANTED
VE_95d9ef6cfd488c,IQ_d8bc48cc73427b,2026-07-26,GRANTED
VE_98969f70f4bd8d,IQ_8d5a147a182e01,2026-09-12,GRANTED
VE_98a0ce3eaf2753,IQ_48d6b84c70a4f2,2026-09-12,GRANTED
VE_98f2ae9ecbaf81,IQ_1b727779854ab3,2026-09-03,GRANTED
VE_99ab05a695833c,IQ_138c14e03ba3ea,2026-09-06,GRANTED
VE_9abc34684d457a,IQ_f83c0c647f07c0,2026-07-02,GRANTED
VE_9e2a687d484ff3,IQ_2e15f14171efd2,2026-07-24,GRANTED
VE_9eee8eb7332d64,IQ_c17af42164280c,2026-07-31,GRANTED
VE_9fc07f4c8315cb,IQ_d8bc48cc73427b,2026-07-29,GRANTED
VE_a0c3e79dccd24d,IQ_84cf83fad0fc3b,2026-07-01,GRANTED
VE_a1aea01cb3b798,IQ_de9f5d6bf88bc7,2026-09-01,GRANTED
VE_a1b61f0aef8918,IQ_da1889c369f3aa,2026-08-25,GRANTED
VE_a288347a677007,IQ_72437542771259,2026-08-16,GRANTED
VE_a3784f7a3fb894,IQ_62144644af5434,2026-07-02,GRANTED
VE_a46503cb15ae4d,IQ_af36945ece0ade,2026-09-13,GRANTED
VE_a4736028790d0c,IQ_684faa338cd172,2026-07-04,GRANTED
VE_a5b1f776870e03,IQ_be1ad011586236,2026-07-11,GRANTED
VE_a5ffc2127e3270,IQ_0924a6da562c98,2026-07-04,GRANTED
VE_a69bf98d2da88a,IQ_27d47adc2955b8,2026-08-22,GRANTED
VE_a8201c132ff47a,IQ_39d652b58996e7,2026-08-17,GRANTED
VE_aa53846fe55964,IQ_db5e4b31c72a78,2026-09-11,GRANTED
VE_aa5fb79055863d,IQ_7201837835a5f2,2026-08-10,GRANTED
VE_aaac45dbc3c6c6,IQ_8d5a147a182e01,2026-08-04,GRANTED
VE_ab376a2e5f5737,IQ_ad1c6f1f62ce12,2026-07-15,GRANTED
VE_adac6704ad4fd1,IQ_8574a122b9ffcf,2026-08-01,GRANTED
VE_ae6b919968e5fa,IQ_f99c4fc261de3c,2026-07-24,GRANTED
VE_ae811bb9094cb6,IQ_48d6b84c70a4f2,2026-07-09,GRANTED
VE_b08c3cc8c3d9da,IQ_2f9f098695e506,2026-07-14,GRANTED
VE_b0a40f77b13951,IQ_25dc7ff2807b62,2026-09-10,GRANTED
VE_b10fad2abd1bb9,IQ_de9f5d6bf88bc7,2026-09-07,GRANTED
VE_b137f70fdbd621,IQ_05884139b2f597,2026-07-21,GRANTED
VE_b2e6533058bd48,IQ_6648ea2780803e,2026-07-30,GRANTED
VE_b783f945356fa5,IQ_7aeaa83a0a1c56,2026-08-30,GRANTED
VE_b7dda451656b47,IQ_87b762d0f01c95,2026-07-20,GRANTED
VE_b8aea05bd78631,IQ_229d78a6df9a94,2026-07-18,GRANTED
VE_b8c45300640936,IQ_be1ad011586236,2026-07-11,GRANTED
VE_b9219866a4c27c,IQ_59b5871585180e,2026-07-30,GRANTED
VE_b9a1f2a413480b,IQ_fa30d3fbfe0eaa,2026-08-26,GRANTED
VE_b9f98fc891aa27,IQ_0bbbaaab35ea95,2026-07-04,GRANTED
VE_bba3f428e4da10,IQ_212e5067a55b64,2026-07-23,GRANTED
VE_bbc9375947187c,IQ_2ed3fcb44618c9,2026-08-21,GRANTED
VE_be69b0b9fcc9cc,IQ_9645247222684b,2026-09-02,GRANTED
VE_bfe9d52333ab58,IQ_0ba748be4238c5,2026-08-20,GRANTED
VE_c033b18fa89d76,IQ_db5e4b31c72a78,2026-08-08,GRANTED
VE_c08d0b97668af4,IQ_59b5871585180e,2026-08-14,GRANTED
VE_c0d4debab11d94,IQ_068d08db4e01c0,2026-08-10,GRANTED
VE_c7794807a1f793,IQ_de9f5d6bf88bc7,2026-07-09,GRANTED
VE_ca4187d7fdc690,IQ_f0ae8bd8f9d2a8,2026-08-28,GRANTED
VE_ca808ffc199f28,IQ_6f1507ed9f081a,2026-08-09,GRANTED
VE_cae3670af6de78,IQ_9618214b0f52fe,2026-09-07,GRANTED
VE_cb02f879a02d6d,IQ_2addb9b1683255,2026-07-25,GRANTED
VE_cb40bb02a55fa1,IQ_87b762d0f01c95,2026-07-06,GRANTED
VE_cca6c5fecccd5b,IQ_2472ae6f311b48,2026-08-03,GRANTED
VE_cdb5ff687703bc,IQ_8d5a147a182e01,2026-07-11,GRANTED
VE_cea2fbeca3b3fe,IQ_c5eb39b18ca20b,2026-08-16,GRANTED
VE_cf353ae67270d5,IQ_9618214b0f52fe,2026-09-09,GRANTED
VE_d1a48d69d0833b,IQ_0bbbaaab35ea95,2026-07-13,GRANTED
VE_d323fb722e80d2,IQ_0a303a7880e935,2026-08-11,GRANTED
VE_d5cf868ebed0e4,IQ_2f9f098695e506,2026-07-11,GRANTED
VE_d5ddc5876e4d86,IQ_d92c297a26b4ad,2026-08-08,GRANTED
VE_d64eb9e6e4c035,IQ_d29d3ced32b323,2026-07-24,GRANTED
VE_d76753bcca1c6d,IQ_7201837835a5f2,2026-07-04,GRANTED
VE_d7b7259c4f6284,IQ_b77348ba966bc5,2026-07-31,GRANTED
VE_d7f11af89369f5,IQ_f559fad81801dc,2026-07-24,GRANTED
VE_d814a437362047,IQ_98b3077966380e,2026-08-28,GRANTED
VE_d9e9685b584a34,IQ_fdbb3d15d0fb0f,2026-08-18,GRANTED
VE_dc03c6bfc87c5f,IQ_be1ad011586236,2026-09-08,GRANTED
VE_dcd6f20afdad54,IQ_be89a3a9a5c2a1,2026-08-22,GRANTED
VE_ddc572eb038343,IQ_892ff68c2aaeda,2026-08-19,GRANTED
VE_de17f928ae2c1d,IQ_9793f962088daa,2026-09-04,GRANTED
VE_e0a0037ab796b3,IQ_87b762d0f01c95,2026-07-27,GRANTED
VE_e0a478708d1f27,IQ_f0ae8bd8f9d2a8,2026-08-03,GRANTED
VE_e1b3c45b92d8be,IQ_c555f3d5651536,2026-07-14,GRANTED
VE_e4bd62a27fd085,IQ_9645247222684b,2026-08-31,GRANTED
VE_e53f7561610039,IQ_a693ef2a2ce111,2026-07-23,GRANTED
VE_e59e20701918f6,IQ_06a6ec1d2ef8be,2026-07-09,GRANTED
VE_e6370c5bed245c,IQ_c17af42164280c,2026-07-03,GRANTED
VE_e6f24dbbecc1c3,IQ_8574a122b9ffcf,2026-07-19,GRANTED
VE_e735bc491dd302,IQ_ea35b752bd7dac,2026-07-30,GRANTED
VE_e738598a903f0f,IQ_e14d919e7ea858,2026-07-31,GRANTED
VE_e85a99f7ca1d42,IQ_076d9a257d3fec,2026-08-30,GRANTED
VE_e92e5133cfb6c4,IQ_33101f0c5b3c7f,2026-07-11,GRANTED
VE_e943fb4e8148a7,IQ_a48ac6570531bf,2026-07-13,GRANTED
VE_e9f5085c8aebf4,IQ_da1889c369f3aa,2026-08-11,GRANTED
VE_eab121183e8f59,IQ_7cd8b403393f76,2026-08-08,GRANTED
VE_ebf3bcbe56234a,IQ_33b40f57a97926,2026-07-23,GRANTED
VE_ed3fa4cb8585ef,IQ_0bbbaaab35ea95,2026-09-05,GRANTED
VE_ee531b8f2e61b3,IQ_aa92849fd7cd30,2026-09-02,GRANTED
VE_ee82b786c6625b,IQ_212e5067a55b64,2026-08-31,GRANTED
VE_eefe22814e70d4,IQ_892ff68c2aaeda,2026-08-30,GRANTED
VE_ef570d8197c75d,IQ_6648ea2780803e,2026-07-18,GRANTED
VE_ef66370b28df07,IQ_84cf83fad0fc3b,2026-08-15,GRANTED
VE_f02f56cd73c909,IQ_138c14e03ba3ea,2026-08-18,GRANTED
VE_f0aab6a03d5a49,IQ_684faa338cd172,2026-09-07,GRANTED
VE_f19cb7dc11f983,IQ_aa92849fd7cd30,2026-08-24,GRANTED
VE_f1cdb1d48c28f8,IQ_db5e4b31c72a78,2026-07-03,GRANTED
VE_f24f7f33893541,IQ_9793f962088daa,2026-07-13,GRANTED
VE_f254cd04c39b15,IQ_7b0a140e80e73a,2026-07-23,GRANTED
VE_f3237f6827e6cc,IQ_6f1507ed9f081a,2026-07-27,GRANTED
VE_f41faceae98411,IQ_7201837835a5f2,2026-08-28,GRANTED
VE_f4bdf210d31946,IQ_72437542771259,2026-08-01,GRANTED
VE_f4fe312e1078a9,IQ_2ed3fcb44618c9,2026-09-10,GRANTED
VE_f53e79cac847ec,IQ_08def56e473c8b,2026-09-02,GRANTED
VE_f54e2546056b86,IQ_90184cbb052110,2026-07-06,GRANTED
VE_f5c08279bab495,IQ_73f40fd1707597,2026-07-05,GRANTED
VE_f611640e3cedac,IQ_cce5e0ba716ecf,2026-07-09,GRANTED
VE_f625a1c944697d,IQ_229d78a6df9a94,2026-09-09,GRANTED
VE_f6ada8cb1c1d94,IQ_7cd8b403393f76,2026-07-06,GRANTED
VE_f7c90075b266be,IQ_21d1ec50b3e069,2026-07-30,GRANTED
VE_f7c99be0b95a62,IQ_a48ac6570531bf,2026-09-07,GRANTED
VE_f7f87c3d7ed447,IQ_d92c297a26b4ad,2026-07-20,GRANTED
VE_f7feab29585720,IQ_c555f3d5651536,2026-08-26,GRANTED
VE_f8e4caf96fbe96,IQ_05605b3c9aa55e,2026-07-09,GRANTED
VE_fa975405608c49,IQ_2674a44d322f11,2026-07-29,GRANTED
VE_fac72ef6cd9ff2,IQ_e14d919e7ea858,2026-09-01,GRANTED
VE_fc4775c880b67c,IQ_25dc7ff2807b62,2026-07-11,GRANTED
VE_fcbd90295650b7,IQ_70849c1fe756b7,2026-09-05,GRANTED
VE_ffb28a6e678e9b,IQ_0761c9286a2f08,2026-09-04,GRANTED
